PFT,site,year,RAD0,lambd
GRA,IT-Tor,2010,322.7191501312117,0.788686108877147
GRA,IT-Tor,2011,334.0735107936638,0.9123247127000693
GRA,IT-Tor,2012,322.9914354019369,0.67304269481463
GRA,IT-Tor,2013,350.6805563772413,0.7721768899923458
GRA,IT-Tor,2014,243.7321223158864,0.9882872935023455
CRO,FR-Gri,2005,364.2878565915183,0.3535971571595503
CRO,FR-Gri,2006,266.6785246463022,0.3351226868023057
CRO,FR-Gri,2007,358.7676739756291,0.228019180861731
CRO,FR-Gri,2010,203.2309824462761,0.4105723820560723
CRO,FR-Gri,2013,284.6804244913362,0.2633314527116235
DBF,IT-Isp,2013,318.8028375834066,0.2942889941784684
DBF,IT-Isp,2014,195.1186197563529,0.3866610730049989
MF,CH-Lae,2005,190.2646563504924,0.2642311224586767
MF,CH-Lae,2006,219.703884535675,0.2670629219788447
MF,CH-Lae,2007,266.6992547230193,0.2693805647386668
MF,CH-Lae,2008,231.2144650729156,0.2491639046687683
MF,CH-Lae,2009,315.26532934479,0.2156969456419907
MF,CH-Lae,2010,218.9788040498998,0.3034335325122458
MF,CH-Lae,2011,228.7203472014693,0.2617611143943696
MF,CH-Lae,2012,340.5441339622444,0.1955347470292315
MF,CH-Lae,2013,224.850027823371,0.3056006214389329
MF,CH-Lae,2014,228.5125984540217,0.2743664356118586
ENF,IT-La2,2001,143.5824040079759,0.5642412759429379
ENF,CH-Dav,2000,130.5401714486076,0.6752179755291392
ENF,CH-Dav,2001,128.9978724008967,0.7730280998169086
ENF,CH-Dav,2002,164.1429173434156,0.6458517484842582
ENF,CH-Dav,2003,317.4317240287672,0.3226483384794908
ENF,CH-Dav,2004,181.8111626666448,0.5320980509319616
ENF,CH-Dav,2006,142.8673058736847,0.5350334991376732
ENF,CH-Dav,2007,135.0611200476584,0.477386141847865
ENF,CH-Dav,2008,168.7106147736631,0.4870719565975942
ENF,CH-Dav,2009,158.5551517509581,0.4581988045559999
ENF,CH-Dav,2010,90.22291270982268,0.8172184912669463
ENF,CH-Dav,2011,95.59808259788825,0.6831369977247445
ENF,CH-Dav,2012,334.2144288780735,0.2910827886331665
ENF,CH-Dav,2013,146.1962861567447,0.5007884400472375
ENF,CH-Dav,2014,115.2072360500411,0.6370267655813658
ENF,IT-Ren,2002,160.9342284193909,0.5627813498860738
ENF,IT-Ren,2003,187.1307297358449,0.4902220938884286
ENF,IT-Ren,2005,199.6112161998616,0.5006323159666622
ENF,IT-Ren,2007,203.9434729991394,0.4552775021567532
ENF,IT-Ren,2009,278.620185705242,0.4354082201807124
ENF,IT-Ren,2010,260.7341557783673,0.4755179580281961
ENF,IT-Ren,2011,300.5274805738724,0.3978493100309975
ENF,IT-Ren,2012,278.5095140190458,0.4081339672134161
ENF,IT-Ren,2013,239.9675744441114,0.5147717585423783
DBF,IT-PT1,2003,226.7113632873961,0.3359148314656226
GRA,CH-Cha,2006,275.2107107559672,0.7213046415909435
GRA,CH-Cha,2007,240.1085547016156,0.7828310555129112
GRA,CH-Cha,2008,308.8616593133007,0.7741975828311058
GRA,CH-Cha,2010,192.142257815018,0.8444698438459535
GRA,CH-Cha,2011,201.9803789198781,0.8267404190267029
GRA,CH-Cha,2012,318.6579521360112,0.5186907903547805
GRA,CH-Cha,2013,250.2870779711367,0.8643941173162626
GRA,CH-Cha,2014,281.1058737771107,0.6778269118932093
ENF,DE-Lkb,2011,111.7220542548822,0.4776069013148522
DBF,FR-Fon,2005,255.4986979892938,0.2606493128592859
DBF,FR-Fon,2006,176.0106638723885,0.3126346565383193
DBF,FR-Fon,2007,148.5936734161207,0.393137019831177
DBF,FR-Fon,2008,186.7609330663047,0.2978295229570759
DBF,FR-Fon,2009,252.3131984487733,0.221375357776038
DBF,FR-Fon,2010,180.670099655518,0.2702407421270325
DBF,FR-Fon,2011,182.3422551322199,0.2824088406532669
DBF,FR-Fon,2012,231.0915086812342,0.3108628332519836
DBF,FR-Fon,2013,184.6107723222406,0.2970081096340186
CRO,DE-Kli,2005,511.5269349616493,0.2021037004015961
CRO,DE-Kli,2006,438.089830398595,0.2281019074172195
CRO,DE-Kli,2007,667.3754282496317,0.2120386609374509
CRO,DE-Kli,2010,164.7121573045539,0.3508443905967398
CRO,DE-Kli,2011,402.773593734073,0.2366040825332021
CRO,DE-Kli,2012,464.3579043450317,0.111428891540246
CRO,DE-Kli,2014,407.8075908880773,0.2547900443326724
DBF,DE-Hai,2000,142.4613186489295,0.4564755532383283
DBF,DE-Hai,2001,151.9507690174237,0.4362367585696721
DBF,DE-Hai,2002,168.4070221439919,0.4574099225994139
DBF,DE-Hai,2003,183.6470612756561,0.3155121075340765
DBF,DE-Hai,2004,193.2738670039004,0.434106125917228
DBF,DE-Hai,2005,137.9826685928444,0.458817981908387
DBF,DE-Hai,2006,131.8795644170009,0.4456466961384203
DBF,DE-Hai,2007,140.3804036651395,0.4622551877059733
DBF,DE-Hai,2008,129.5011887898527,0.4097573556021366
DBF,DE-Hai,2009,182.6017085029074,0.4088695068124464
DBF,DE-Hai,2011,130.4530408296347,0.4009292230579594
DBF,DE-Hai,2012,165.931568829734,0.3585704602955722
ENF,IT-Lav,2003,279.6838158110572,0.4230865977689514
ENF,IT-Lav,2004,247.6322665109095,0.5022004483439486
ENF,IT-Lav,2005,162.949164892071,0.6283735221185114
ENF,IT-Lav,2006,200.5098011762564,0.5729688466734727
ENF,IT-Lav,2007,224.1010868783623,0.4932377594402547
ENF,IT-Lav,2008,168.0860829285321,0.649690816066534
ENF,IT-Lav,2009,290.0466208842569,0.4745805250900781
ENF,IT-Lav,2010,201.3497897814205,0.570553046263882
ENF,IT-Lav,2011,327.1207289061534,0.3943454410315809
ENF,IT-Lav,2012,323.3934356603916,0.366805231170682
ENF,IT-Lav,2013,160.0650129495178,0.6328795107606162
GRA,AT-Neu,2002,223.7913699747521,0.7850278409986395
GRA,AT-Neu,2003,324.9582695616353,0.8425936958428287
GRA,AT-Neu,2004,179.53885939194,1.0
GRA,AT-Neu,2005,235.7186278830134,0.8385999477511249
GRA,AT-Neu,2006,693.8827551383432,0.4560423287014392
GRA,AT-Neu,2007,232.1522299339812,1.0
GRA,AT-Neu,2008,257.8640419791375,0.87183818338594
GRA,AT-Neu,2009,212.6402908481907,0.8145432286084584
GRA,AT-Neu,2010,281.3469615471791,0.7049712530047826
GRA,AT-Neu,2011,241.8999695951584,0.8908830330371948
GRA,AT-Neu,2012,240.4184764624599,0.7313316504439991
GRA,CH-Fru,2007,265.4346867652872,0.8328100600170563
GRA,CH-Fru,2008,188.5363157298188,0.8978983093833709
GRA,CH-Fru,2010,208.5412705250009,1.0
GRA,CH-Fru,2011,268.6133465549696,0.7906970085761629
GRA,CH-Fru,2012,267.5002926575845,0.8008214245789854
GRA,CH-Fru,2013,233.1256105765648,1.0
GRA,CH-Fru,2014,158.3955783679524,0.9792107970335449
CRO,CH-Oe2,2004,524.4419163661819,0.1987788602752128
CRO,CH-Oe2,2005,204.2640598788215,0.3121796568818208
CRO,CH-Oe2,2006,215.2332304787941,0.1892511781195366
CRO,CH-Oe2,2007,494.9627816628185,0.1763691310394621
CRO,CH-Oe2,2008,357.1905313790784,0.2165569148562156
CRO,CH-Oe2,2009,288.3286452275657,0.2623823142013578
CRO,CH-Oe2,2010,161.6907055451976,0.1056684837345264
CRO,CH-Oe2,2011,416.156796653795,0.2240311333449231
CRO,CH-Oe2,2012,323.0458119920892,0.2718025364307508
CRO,CH-Oe2,2013,546.1294882596428,0.1946161966669097
CRO,CH-Oe2,2014,1163.319481259344,0.1351464133876229
