PFT,site,year,Topt
GRA,GRA_IT-Tor,2008,13.993370328753077
GRA,GRA_IT-Tor,2009,12.381992163121634
GRA,GRA_IT-Tor,2010,16.359579392927497
GRA,GRA_IT-Tor,2011,15.190035842772607
GRA,GRA_IT-Tor,2012,15.89048519555131
GRA,GRA_IT-Tor,2013,15.593792771280826
GRA,GRA_IT-Tor,2014,11.88985608917574
DBF,DBF_IT-Isp,2013,26.58354714287242
DBF,DBF_IT-Isp,2014,24.30634524281511
MF,MF_CH-Lae,2004,16.353758628604375
MF,MF_CH-Lae,2005,22.570363456567968
MF,MF_CH-Lae,2006,20.89510504327015
MF,MF_CH-Lae,2008,18.501762868366725
MF,MF_CH-Lae,2009,22.861138837337467
MF,MF_CH-Lae,2010,19.98566886969888
MF,MF_CH-Lae,2011,16.50555720823733
MF,MF_CH-Lae,2012,21.90003570698641
MF,MF_CH-Lae,2013,18.71077820321444
MF,MF_CH-Lae,2014,17.697500818619353
ENF,ENF_IT-La2,2000,17.66308255334568
ENF,ENF_IT-La2,2001,14.49363629885146
ENF,ENF_IT-La2,2002,7.990321706113281
ENF,ENF_CH-Dav,1997,15.0
ENF,ENF_CH-Dav,1998,20.186180893129514
ENF,ENF_CH-Dav,1999,17.0
ENF,ENF_CH-Dav,2000,16.020171062863525
ENF,ENF_CH-Dav,2001,17.678348548408472
ENF,ENF_CH-Dav,2002,15.592001871863255
ENF,ENF_CH-Dav,2003,15.171182489812695
ENF,ENF_CH-Dav,2004,15.0
ENF,ENF_CH-Dav,2005,17.66056431202219
ENF,ENF_CH-Dav,2006,24.000663143488254
ENF,ENF_CH-Dav,2007,23.748118740191874
ENF,ENF_CH-Dav,2008,16.41314359667449
ENF,ENF_CH-Dav,2010,22.10446344434394
ENF,ENF_CH-Dav,2012,16.21332927904232
ENF,ENF_CH-Dav,2013,9.48525694863933
ENF,ENF_CH-Dav,2014,17.925147445971092
ENF,ENF_IT-Ren,1999,18.72622036134496
ENF,ENF_IT-Ren,2002,12.94331188602553
ENF,ENF_IT-Ren,2003,15.690644786509747
ENF,ENF_IT-Ren,2004,10.712574144235003
ENF,ENF_IT-Ren,2005,15.667341848578172
ENF,ENF_IT-Ren,2006,15.10900344552893
ENF,ENF_IT-Ren,2007,11.929535129392068
ENF,ENF_IT-Ren,2008,15.238913983558032
ENF,ENF_IT-Ren,2009,14.016271697315764
ENF,ENF_IT-Ren,2010,14.418701133325133
ENF,ENF_IT-Ren,2011,11.989482565341127
ENF,ENF_IT-Ren,2012,14.340781581561181
ENF,ENF_IT-Ren,2013,12.760542533508385
DBF,DBF_IT-PT1,2003,27.318598299487693
GRA,GRA_CH-Cha,2005,18.264642619200217
GRA,GRA_CH-Cha,2006,19.592607960781013
GRA,GRA_CH-Cha,2008,15.74635330905354
GRA,GRA_CH-Cha,2010,20.857598671535587
GRA,GRA_CH-Cha,2011,24.0
GRA,GRA_CH-Cha,2012,25.0
GRA,GRA_CH-Cha,2013,18.733036616523368
GRA,GRA_CH-Cha,2014,26.84136461202842
ENF,ENF_DE-Lkb,2009,19.679257705556466
ENF,ENF_DE-Lkb,2010,21.24972371681428
ENF,ENF_DE-Lkb,2011,22.692122854302582
ENF,ENF_DE-Lkb,2013,21.132764954475565
DBF,DBF_FR-Fon,2005,22.750059715178857
DBF,DBF_FR-Fon,2006,20.617470382131938
DBF,DBF_FR-Fon,2007,19.537736020801383
DBF,DBF_FR-Fon,2008,19.95556254136684
DBF,DBF_FR-Fon,2009,20.402483453839146
DBF,DBF_FR-Fon,2010,22.720829900699695
DBF,DBF_FR-Fon,2011,20.92257769802154
DBF,DBF_FR-Fon,2012,21.285476167442834
DBF,DBF_FR-Fon,2013,22.791103649667313
DBF,DBF_FR-Fon,2014,22.568750440177485
DBF,DBF_DE-Hai,2000,27.0
DBF,DBF_DE-Hai,2001,22.151651471488176
DBF,DBF_DE-Hai,2002,21.48119160325963
DBF,DBF_DE-Hai,2003,19.986194321991945
DBF,DBF_DE-Hai,2004,19.42703414408023
DBF,DBF_DE-Hai,2005,19.776676881272554
DBF,DBF_DE-Hai,2006,20.85392263886505
DBF,DBF_DE-Hai,2007,21.83783028263085
DBF,DBF_DE-Hai,2008,18.697628277402966
