,name,rule,n_candidates,dist,grid_i,grid_j,hgt_site,hgt_wrf,lat_wrf,lon_wrf,pft,veg_frac_idx
0,CH-Cha_ALPS,nearest,1,29.38815308634125,10,5,393,612.5082,47.389862,8.124571,7,0.04297433
1,CH-Fru_ALPS,nearest,1,31.430040883128747,9,6,982,1450.4883,46.912735,8.826179,7,0.28637418
2,CH-Oe1_ALPS,nearest,1,25.996683197025483,10,4,450,553.12695,47.389862,7.422964,7,0.09042536
3,DE-Lkb_ALPS,nearest,1,26.136769201090083,14,12,1308,565.31934,49.25566,13.035821,1,0.3488067
4,IT-Isp_ALPS,nearest,1,20.999041141862968,7,6,210,908.9919,45.945602,8.826179,4,0.010358621
5,IT-La2_ALPS,nearest,1,26.8680901637063,7,10,1350,828.05945,45.945602,11.6326065,1,0.21836138
6,IT-PT1_ALPS,nearest,1,32.40068782453665,5,6,60,189.05684,44.96129,8.826179,4,0.0
7,CH-Oe2_ALPS,nearest,1,26.134108447925502,10,4,452,553.12695,47.389862,7.422964,6,0.37070087
8,IT-Tor_ALPS,nearest,1,16.45519685793156,7,4,2160,2024.8848,45.945602,7.422964,7,0.14616719
9,CH-Lae_ALPS,nearest,1,20.534790885778584,10,5,689,612.5082,47.389862,8.124571,3,0.22749938
10,CH-Dav_ALPS,nearest,1,27.196889140554553,9,7,1639,1685.426,46.912735,9.527785,1,0.21856517
11,IT-Lav_ALPS,nearest,1,27.10766565307591,7,9,1353,1066.9432,45.945602,10.931,1,0.14965323
12,IT-Ren_ALPS,nearest,1,23.043208276166656,8,10,1730,1616.3535,46.43132,11.6326065,1,0.43444657
13,AT-Neu_ALPS,nearest,1,32.9405334862567,9,10,970,1888.2446,46.912735,11.6326065,7,0.22842981
14,IT-MBo_ALPS,nearest,1,11.73546979866528,7,9,1550,1066.9432,45.945602,10.931,7,0.04601694
