,name,rule,n_candidates,dist,grid_i,grid_j,hgt_site,hgt_wrf,lat_wrf,lon_wrf,pft,veg_frac_idx
0,CH-Cha_ALPS,cost,37,14.360557613364806,58,35,393,713.46716,47.112045,8.533842,7,0.2402713
1,CH-Fru_ALPS,cost,37,19.726228168922837,57,37,982,1276.188,47.03241,8.767711,7,0.4882832
2,CH-Oe1_ALPS,cost,39,28.20365808675147,57,28,450,750.18994,47.03241,7.7153006,7,0.39460072
3,DE-Lkb_ALPS,cost,38,19.14362519675781,83,78,1308,1044.0483,49.064484,13.562027,1,0.67919654
4,IT-Isp_ALPS,cost,35,19.879823960682963,40,37,210,252.05852,45.66028,8.767711,4,0.0
5,IT-La2_ALPS,cost,32,14.380107171276967,43,60,1350,1370.9133,45.904922,11.457205,1,0.6206569
6,IT-PT1_ALPS,cost,32,5.82039940645207,34,40,60,63.71727,45.167786,9.118515,4,0.0
7,CH-Oe2_ALPS,cost,38,27.21075236662827,58,26,452,496.4849,47.112045,7.481431,6,0.6234311
8,IT-Tor_ALPS,cost,35,26.45944563733082,43,24,2160,2486.1382,45.904922,7.2475624,7,0.2618251
9,CH-Lae_ALPS,cost,34,26.56767819627421,61,31,689,500.91544,47.350266,8.066104,3,0.3991892
10,CH-Dav_ALPS,cost,36,28.913918492834277,52,44,1639,1736.3618,46.632416,9.586252,1,0.47931743
11,IT-Lav_ALPS,cost,32,13.999060991193062,44,60,1353,1358.6188,45.98625,11.457205,1,0.5942217
12,IT-Ren_ALPS,cost,35,20.3010491379218,52,62,1730,1581.982,46.632416,11.691074,1,0.6901316
13,AT-Neu_ALPS,cost,37,29.449898994963398,59,62,970,1967.2917,47.19159,11.691074,7,0.609908
14,IT-MBo_ALPS,cost,32,18.36660366950326,43,58,1550,1152.804,45.904922,11.223336,7,0.16438146
