,CH-Dav_REF_GPP_WRF,IT-Lav_REF_GPP_WRF,IT-Ren_REF_GPP_WRF,AT-Neu_REF_GPP_WRF,IT-MBo_REF_GPP_WRF,CH-Dav_ALPS_GPP_WRF,IT-Lav_ALPS_GPP_WRF,IT-Ren_ALPS_GPP_WRF,AT-Neu_ALPS_GPP_WRF,IT-MBo_ALPS_GPP_WRF,CH-Dav_SITE_GPP_WRF,IT-Lav_SITE_GPP_WRF,IT-Ren_SITE_GPP_WRF,AT-Neu_SITE_GPP_WRF,IT-MBo_SITE_GPP_WRF,CH-Dav_REF_RECO_WRF,IT-Lav_REF_RECO_WRF,IT-Ren_REF_RECO_WRF,AT-Neu_REF_RECO_WRF,IT-MBo_REF_RECO_WRF,CH-Dav_ALPS_RECO_WRF,IT-Lav_ALPS_RECO_WRF,IT-Ren_ALPS_RECO_WRF,AT-Neu_ALPS_RECO_WRF,IT-MBo_ALPS_RECO_WRF,CH-Dav_SITE_RECO_WRF,IT-Lav_SITE_RECO_WRF,IT-Ren_SITE_RECO_WRF,AT-Neu_SITE_RECO_WRF,IT-MBo_SITE_RECO_WRF,CH-Dav_REF_T2_WRF,IT-Lav_REF_T2_WRF,IT-Ren_REF_T2_WRF,AT-Neu_REF_T2_WRF,IT-MBo_REF_T2_WRF,CH-Dav_ALPS_T2_WRF,IT-Lav_ALPS_T2_WRF,IT-Ren_ALPS_T2_WRF,AT-Neu_ALPS_T2_WRF,IT-MBo_ALPS_T2_WRF,CH-Dav_SITE_T2_WRF,IT-Lav_SITE_T2_WRF,IT-Ren_SITE_T2_WRF,AT-Neu_SITE_T2_WRF,IT-MBo_SITE_T2_WRF
2012-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013812218,0.9052328,0.25215065,0.31961626,0.5702433,0.77959317,1.7278811,1.0464982,0.8845491,1.4712472,0.0,1.3029425,1.093742,0.8244777,2.3503342,268.28488,273.2926,269.68683,271.4572,272.9532,268.28488,273.2926,269.68683,271.4572,272.9532,268.28488,273.2926,269.68683,271.4572,272.9532
2012-01-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771129,0.23930714,0.25238705,0.5836048,0.17040491,1.597297,1.0329688,0.69020665,1.5215936,0.0,1.0747074,1.080313,0.621729,2.396864,265.0119,272.5465,269.61368,270.74603,273.08862,265.0119,272.5465,269.61368,270.74603,273.08862,265.0119,272.5465,269.61368,270.74603,273.08862
2012-01-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7092881,0.26878762,0.17674553,0.6229185,0.14964402,1.537079,1.0640236,0.47154638,1.6697283,0.0,0.96945834,1.1111375,0.39361057,2.5337694,264.90036,272.20245,269.7816,269.94586,273.48712,264.90036,272.20245,269.7816,269.94586,273.48712,264.90036,272.20245,269.7816,269.94586,273.48712
2012-01-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66107816,0.22741741,0.14726499,0.60659754,0.7465745,1.4901341,1.0204443,0.38632566,1.6082305,0.0,0.88740826,1.0678813,0.30470353,2.4769335,268.10748,271.93423,269.54596,269.634,273.3217,268.10748,271.93423,269.54596,269.634,273.3217,268.10748,271.93423,269.54596,269.634,273.3217
2012-01-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29400438,1.21933,0.44517237,0.1078287,0.5559546,1.0788394,2.0337355,1.2498271,0.27232546,1.4174068,0.46666142,1.8375146,1.2955639,0.18577227,2.3005745,269.89264,275.0401,270.7862,269.21683,272.80835,269.89264,275.0401,270.7862,269.21683,272.80835,269.89264,275.0401,270.7862,269.21683,272.80835
2012-01-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31353906,1.2080743,0.84609556,0.05650384,0.50776833,1.0997026,2.0227752,1.6721591,0.12395835,1.2358401,0.5099265,1.8183582,1.7147655,0.030987531,2.1327717,270.00473,274.97748,273.06967,268.6739,272.31992,270.00473,274.97748,273.06967,268.6739,272.31992,270.00473,274.97748,273.06967,268.6739,272.31992
2012-01-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022981234,1.0699497,1.1715438,0.01964376,0.4909897,0.78938574,1.8882757,2.0149858,0.017405301,1.1726179,0.0,1.5832798,2.0550513,0.0,2.0743418,268.3375,274.209,274.92328,268.28397,272.14984,268.3375,274.209,274.92328,268.28397,272.14984,268.3375,274.209,274.92328,268.28397,272.14984
2012-01-12 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010711542,0.43784434,0.8224715,0.00017371774,0.50320715,0.7762816,1.2727588,1.6472735,0.0,1.2186533,0.0,0.50747955,1.6900644,0.0,2.1168876,268.2671,270.69226,272.93512,268.078,272.27368,268.2671,270.69226,272.93512,268.078,272.27368,268.2671,270.69226,272.93512,268.078,272.27368
2012-01-12 08:00:00,0.0,0.0,-0.37948272,0.0,0.0,0.0,0.0,-0.5235319,0.0,0.0,0.0,0.0,-0.3680004,0.0,0.0,0.16140464,0.5590303,1.0188367,0.21986294,0.5239087,0.9372225,1.3907645,1.8541243,0.59618783,1.2966572,0.17298245,0.71372974,1.8953822,0.5236434,2.1889787,269.13177,271.3665,274.05353,270.40198,272.48352,269.13177,271.3665,274.05353,270.40198,272.48352,269.13177,271.3665,274.05353,270.40198,272.48352
2012-01-12 09:00:00,0.0,0.0,-0.6861115,0.0,-0.03671355,0.0,0.0,-0.90322846,0.0,-0.044015512,0.0,0.0,-0.69676197,0.0,-0.0359589,0.16164927,0.75686735,1.0472993,0.31651497,0.7480703,0.9374837,1.5834095,1.8841066,0.8755842,2.1413023,0.17352432,1.050435,1.9251423,0.8151251,2.9695964,269.13318,272.46716,274.21564,271.4244,274.7557,269.13318,272.46716,274.21564,271.4244,274.7557,269.13318,272.46716,274.21564,271.4244,274.7557
