,CH-Dav_REF_GPP_WRF,IT-Lav_REF_GPP_WRF,IT-Ren_REF_GPP_WRF,AT-Neu_REF_GPP_WRF,IT-MBo_REF_GPP_WRF,CH-Dav_ALPS_GPP_WRF,IT-Lav_ALPS_GPP_WRF,IT-Ren_ALPS_GPP_WRF,AT-Neu_ALPS_GPP_WRF,IT-MBo_ALPS_GPP_WRF,CH-Dav_SITE_GPP_WRF,IT-Lav_SITE_GPP_WRF,IT-Ren_SITE_GPP_WRF,AT-Neu_SITE_GPP_WRF,IT-MBo_SITE_GPP_WRF,CH-Dav_REF_RECO_WRF,IT-Lav_REF_RECO_WRF,IT-Ren_REF_RECO_WRF,AT-Neu_REF_RECO_WRF,IT-MBo_REF_RECO_WRF,CH-Dav_ALPS_RECO_WRF,IT-Lav_ALPS_RECO_WRF,IT-Ren_ALPS_RECO_WRF,AT-Neu_ALPS_RECO_WRF,IT-MBo_ALPS_RECO_WRF,CH-Dav_SITE_RECO_WRF,IT-Lav_SITE_RECO_WRF,IT-Ren_SITE_RECO_WRF,AT-Neu_SITE_RECO_WRF,IT-MBo_SITE_RECO_WRF,CH-Dav_REF_T2_WRF,IT-Lav_REF_T2_WRF,IT-Ren_REF_T2_WRF,AT-Neu_REF_T2_WRF,IT-MBo_REF_T2_WRF,CH-Dav_ALPS_T2_WRF,IT-Lav_ALPS_T2_WRF,IT-Ren_ALPS_T2_WRF,AT-Neu_ALPS_T2_WRF,IT-MBo_ALPS_T2_WRF,CH-Dav_SITE_T2_WRF,IT-Lav_SITE_T2_WRF,IT-Ren_SITE_T2_WRF,AT-Neu_SITE_T2_WRF,IT-MBo_SITE_T2_WRF
2012-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013812218,1.2030795,0.25215065,0.094111644,0.5702433,0.77959317,2.0166295,1.0464982,0.0,1.4712472,0.0,1.808152,1.093742,0.0,2.3503342,268.28488,274.94788,269.68683,267.8811,272.9532,268.28488,274.94788,269.68683,267.8811,272.9532,268.28488,274.94788,269.68683,267.8811,272.9532
2012-01-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257788,0.23930714,0.03489042,0.5836048,0.17040491,2.069907,1.0329688,0.0,1.5215936,0.0,1.9013116,1.080313,0.0,2.396864,265.0119,275.25232,269.61368,267.1954,273.08862,265.0119,275.25232,269.61368,267.1954,273.08862,265.0119,275.25232,269.61368,267.1954,273.08862
2012-01-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497978,0.26878762,0.0,0.6229185,0.14964402,1.4778186,1.0640236,0.0,1.6697283,0.0,0.8660029,1.1111375,0.0,2.5337694,264.90036,271.86896,269.7816,265.9594,273.48712,264.90036,271.86896,269.7816,265.9594,273.48712,264.90036,271.86896,269.7816,265.9594,273.48712
2012-01-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88341653,0.22741741,0.0,0.60659754,0.7465745,1.7053272,1.0204443,0.0,1.6082305,0.0,1.2638178,1.0678813,0.0,2.4769335,268.10748,273.169,269.54596,265.6157,273.3217,268.10748,273.169,269.54596,265.6157,273.3217,268.10748,273.169,269.54596,265.6157,273.3217
2012-01-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29400438,1.2221036,0.44517237,0.0,0.5559546,1.0788394,2.0351558,1.2498271,0.0,1.4174068,0.46666142,1.8405468,1.2955639,0.0,2.3005745,269.89264,275.05374,270.7862,264.47577,272.80835,269.89264,275.05374,270.7862,264.47577,272.80835,269.89264,275.05374,270.7862,264.47577,272.80835
2012-01-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31353906,1.1005449,0.84609556,0.0,0.50776833,1.0997026,1.9167767,1.6721591,0.0,1.2358401,0.5099265,1.6335522,1.7147655,0.0,2.1327717,270.00473,274.3773,273.06967,263.89682,272.31992,270.00473,274.3773,273.06967,263.89682,272.31992,270.00473,274.3773,273.06967,263.89682,272.31992
2012-01-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022981234,0.6508013,1.1715438,0.0,0.4909897,0.78938574,1.478796,2.0149858,0.0,1.1726179,0.0,0.8677118,2.0550513,0.0,2.0743418,268.3375,271.87454,274.92328,263.21567,272.14984,268.3375,271.87454,274.92328,263.21567,272.14984,268.3375,271.87454,274.92328,263.21567,272.14984
2012-01-12 07:00:00,0.0,-0.0019289851,0.0,0.0,0.0,0.0,-0.0029158464,0.0,0.0,0.0,0.0,-0.0018726933,0.0,0.0,0.0,0.010711542,0.9121747,0.8224715,0.0,0.50320715,0.7762816,1.7333332,1.6472735,0.0,1.2186533,0.0,1.3127882,1.6900644,0.0,2.1168876,268.2671,273.32904,272.93512,263.18716,272.27368,268.2671,273.32904,272.93512,263.18716,272.27368,268.2671,273.32904,272.93512,263.18716,272.27368
2012-01-12 08:00:00,0.0,-1.2891097,-0.37948272,0.0,0.0,0.0,-1.7733872,-0.5235319,0.0,0.0,0.0,-1.3529428,-0.3680004,0.0,0.0,0.16140464,1.277415,1.0188367,0.0,0.5239087,0.9372225,2.089021,1.8541243,0.0,1.2966572,0.17298245,1.9347336,1.8953822,0.0,2.1889787,269.13177,275.36154,274.05353,264.12433,272.48352,269.13177,275.36154,274.05353,264.12433,272.48352,269.13177,275.36154,274.05353,264.12433,272.48352
2012-01-12 09:00:00,0.0,-2.7360702,-0.6861115,0.0,-0.03671355,0.0,-3.5990918,-0.90322846,0.0,-0.044015512,0.0,-2.995216,-0.69676197,0.0,-0.0359589,0.16164927,1.4575045,1.0472993,0.0,0.7480703,0.9374837,2.2644,1.8841066,0.0,2.1413023,0.17352432,2.2413967,1.9251423,0.0,2.9695964,269.13318,276.3637,274.21564,266.7868,274.7557,269.13318,276.3637,274.21564,266.7868,274.7557,269.13318,276.3637,274.21564,266.7868,274.7557
