,CH-Dav_REF_GPP_WRF,IT-Lav_REF_GPP_WRF,IT-Ren_REF_GPP_WRF,AT-Neu_REF_GPP_WRF,IT-MBo_REF_GPP_WRF,CH-Dav_ALPS_GPP_WRF,IT-Lav_ALPS_GPP_WRF,IT-Ren_ALPS_GPP_WRF,AT-Neu_ALPS_GPP_WRF,IT-MBo_ALPS_GPP_WRF,CH-Dav_SITE_GPP_WRF,IT-Lav_SITE_GPP_WRF,IT-Ren_SITE_GPP_WRF,AT-Neu_SITE_GPP_WRF,IT-MBo_SITE_GPP_WRF,CH-Dav_REF_RECO_WRF,IT-Lav_REF_RECO_WRF,IT-Ren_REF_RECO_WRF,AT-Neu_REF_RECO_WRF,IT-MBo_REF_RECO_WRF,CH-Dav_ALPS_RECO_WRF,IT-Lav_ALPS_RECO_WRF,IT-Ren_ALPS_RECO_WRF,AT-Neu_ALPS_RECO_WRF,IT-MBo_ALPS_RECO_WRF,CH-Dav_SITE_RECO_WRF,IT-Lav_SITE_RECO_WRF,IT-Ren_SITE_RECO_WRF,AT-Neu_SITE_RECO_WRF,IT-MBo_SITE_RECO_WRF,CH-Dav_REF_T2_WRF,IT-Lav_REF_T2_WRF,IT-Ren_REF_T2_WRF,AT-Neu_REF_T2_WRF,IT-MBo_REF_T2_WRF,CH-Dav_ALPS_T2_WRF,IT-Lav_ALPS_T2_WRF,IT-Ren_ALPS_T2_WRF,AT-Neu_ALPS_T2_WRF,IT-MBo_ALPS_T2_WRF,CH-Dav_SITE_T2_WRF,IT-Lav_SITE_T2_WRF,IT-Ren_SITE_T2_WRF,AT-Neu_SITE_T2_WRF,IT-MBo_SITE_T2_WRF,CH-Dav_ALPS_GPP_recalc,IT-Lav_ALPS_GPP_recalc,IT-Ren_ALPS_GPP_recalc,AT-Neu_ALPS_GPP_recalc,IT-MBo_ALPS_GPP_recalc,CH-Dav_SITE_GPP_recalc,IT-Lav_SITE_GPP_recalc,IT-Ren_SITE_GPP_recalc,AT-Neu_SITE_GPP_recalc,IT-MBo_SITE_GPP_recalc,CH-Dav_ALPS_RECO_recalc,IT-Lav_ALPS_RECO_recalc,IT-Ren_ALPS_RECO_recalc,AT-Neu_ALPS_RECO_recalc,IT-MBo_ALPS_RECO_recalc,CH-Dav_SITE_RECO_recalc,IT-Lav_SITE_RECO_recalc,IT-Ren_SITE_RECO_recalc,AT-Neu_SITE_RECO_recalc,IT-MBo_SITE_RECO_recalc,CH-Dav_ALPS_NEE_recalc,IT-Lav_ALPS_NEE_recalc,IT-Ren_ALPS_NEE_recalc,AT-Neu_ALPS_NEE_recalc,IT-MBo_ALPS_NEE_recalc,CH-Dav_SITE_NEE_recalc,IT-Lav_SITE_NEE_recalc,IT-Ren_SITE_NEE_recalc,AT-Neu_SITE_NEE_recalc,IT-MBo_SITE_NEE_recalc
2012-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94074625,0.76936376,0.2574321,0.5702433,0.65214884,1.7616093,1.5971922,0.43671852,1.4712472,0.0,1.3636459,1.8319991,0.16769277,2.3503342,267.69562,273.49304,272.91498,269.78763,272.9532,267.69562,273.49304,272.91498,269.78763,272.9532,267.69562,273.49304,272.91498,269.78763,272.9532,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.6650787515880293,1.7646082359688149,1.6001782410850756,0.43943657202669995,1.4741005661057864,,,,,,0.6650787515880293,1.7646082359688149,1.6001782410850756,0.43943657202669995,1.4741005661057864
2012-01-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4144182,0.58458275,0.738647,0.1764642,0.5836048,1.1555082,1.413101,1.5529181,0.2201344,1.5215936,0.7383474,0.7558473,1.7891896,0.0,2.396864,270.81784,271.50827,272.72015,269.03607,273.08862,270.81784,271.50827,272.72015,269.03607,273.08862,270.81784,271.50827,272.72015,269.03607,273.08862,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.1582129176151639,1.4160998160891385,1.5559042586554015,0.29962264569088015,1.5244468870188084,,,,,,1.1582129176151639,1.4160998160891385,1.5559042586554015,0.29962264569088015,1.5244468870188084
2012-01-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104229,0.5558977,0.8277612,0.15947632,0.6229185,1.1514983,1.3850325,1.6813639,0.17469285,1.6697283,0.7295594,0.706896,1.9133866,0.0,2.5337694,270.79297,271.34842,273.28537,268.8784,273.48712,270.79297,271.34842,273.28537,268.8784,273.48712,270.79297,271.34842,273.28537,268.8784,273.48712,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.1542031256825467,1.3880313765342736,1.6843501277938724,0.2912292558184221,1.6725816906425672,,,,,,1.1542031256825467,1.3880313765342736,1.6843501277938724,0.2912292558184221,1.6725816906425672
2012-01-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1661848,0.8196264,0.74953544,0.1720323,0.60659754,0.9063747,1.6430928,1.5686123,0.20827934,1.6082305,0.19233929,1.1569532,1.8043647,0.0,2.4769335,269.27252,272.81808,272.7892,268.99493,273.3217,269.27252,272.81808,272.7892,268.99493,273.3217,269.27252,272.81808,272.7892,268.99493,273.3217,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.9096331877202685,1.6460916881194554,1.571598497727825,0.2974329244700415,1.6110838525016271,,,,,,0.9096331877202685,1.6460916881194554,1.571598497727825,0.2974329244700415,1.6110838525016271
2012-01-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56461716,1.006035,0.8083708,0.18534118,0.5559546,1.3062518,1.8254946,1.6534154,0.24387978,1.4174068,1.0687214,1.4750621,1.8863626,0.0,2.3005745,271.75287,273.85687,273.16238,269.11847,272.80835,271.75287,273.85687,273.16238,269.11847,272.80835,271.75287,273.85687,273.16238,269.11847,272.80835,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.3089564943310636,1.8284936762844122,1.6564014828703781,0.30400858582164014,1.42026017875716,,,,,,1.3089564943310636,1.8284936762844122,1.6564014828703781,0.30400858582164014,1.42026017875716
2012-01-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095264,0.9538456,0.7950429,0.18339485,0.50776833,1.3513238,1.774427,1.6342051,0.23867342,1.2358401,1.1675024,1.3860002,1.8677876,0.0,2.1327717,272.03244,273.56604,273.07785,269.1004,272.31992,272.03244,273.56604,273.07785,269.1004,272.31992,272.03244,273.56604,273.07785,269.1004,272.31992,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.3540285236497211,1.7774260495265157,1.6371911239527406,0.30304692783741427,1.2386935121927354,,,,,,1.3540285236497211,1.7774260495265157,1.6371911239527406,0.30304692783741427,1.2386935121927354
2012-01-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9484997,0.3789139,0.70831037,0.20062602,0.4909897,1.6915263,1.2118528,1.5091919,0.28476578,1.1726179,1.9131001,0.40487045,1.74691,0.0,2.0743418,274.14264,270.36215,272.52774,269.26035,272.14984,274.14264,270.36215,272.52774,269.26035,272.14984,274.14264,270.36215,272.52774,269.26035,272.14984,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.694231079189207,1.2148515694449031,1.5121781528879992,0.3115605249579006,1.1754713295770813,,,,,,1.694231079189207,1.2148515694449031,1.5121781528879992,0.3115605249579006,1.1754713295770813
2012-01-12 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372821,0.50123197,0.21445438,0.50320715,0.733191,1.6603689,1.2107171,0.32175577,1.2186533,0.0,1.1870828,1.4583087,0.036834497,2.1168876,268.1983,272.91647,271.21432,269.3887,272.27368,268.1983,272.91647,271.21432,269.3887,272.27368,268.1983,272.91647,271.21432,269.3887,272.27368,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.7430378139810128,1.6633678716102693,1.2137032694593772,0.32447383649067185,1.2215067893033194,,,,,,0.7430378139810128,1.6633678716102693,1.2137032694593772,0.32447383649067185,1.2215067893033194
2012-01-12 08:00:00,0.0,-0.37327102,0.0,0.0,0.0,0.0,-0.5140006,0.0,0.0,0.0,0.0,-0.39140877,0.0,0.0,0.0,0.17721476,1.0566745,0.49165708,0.2871404,0.5239087,0.91744465,1.8750459,1.1969161,0.51618636,1.2966572,0.21660055,1.5614793,1.4449643,0.2581483,2.1889787,269.3412,274.13907,271.1536,270.0634,272.48352,269.3412,274.13907,271.1536,270.0634,272.48352,269.3412,274.13907,271.1536,270.0634,272.48352,,,,,,0.0,0.9591866448978089,0.0,0.0,0.0,,,,,,0.9202820397348516,1.8780448142309254,1.1999023256882226,0.5189043870744012,1.2995106880410252,,,,,,0.9202820397348516,0.9188581693331165,1.1999023256882226,0.5189043870744012,1.2995106880410252
2012-01-12 09:00:00,-0.5400421,-1.2285849,-0.37564686,0.0,-0.03671355,-0.7134031,-1.6161562,-0.49390632,0.0,-0.044015512,-0.6611693,-1.3449731,-0.381405,0.0,-0.0359589,1.0084243,1.276872,0.9380318,0.48976237,0.7480703,1.7516683,2.0905106,1.8403037,1.0581875,2.1413023,2.044909,1.9372495,2.0670686,0.87509,2.9695964,274.5157,275.36615,273.98477,271.94415,274.7557,274.5157,275.36615,273.98477,271.94415,274.7557,274.5157,275.36615,273.98477,271.94415,274.7557,,,,,,2.34214981327075,2.78467328153691,1.274300739877383,0.0,0.05985474712288792,,,,,,1.7543730381883633,2.093509473654667,1.8432898410337335,1.0609054908343363,2.1441558713621287,,,,,,-0.5877767750823866,-0.6911638078822429,0.5689891011563506,1.0609054908343363,2.0843011242392406
