,CH-Dav_REF_GPP_WRF,IT-Lav_REF_GPP_WRF,IT-Ren_REF_GPP_WRF,AT-Neu_REF_GPP_WRF,IT-MBo_REF_GPP_WRF,CH-Dav_ALPS_GPP_WRF,IT-Lav_ALPS_GPP_WRF,IT-Ren_ALPS_GPP_WRF,AT-Neu_ALPS_GPP_WRF,IT-MBo_ALPS_GPP_WRF,CH-Dav_SITE_GPP_WRF,IT-Lav_SITE_GPP_WRF,IT-Ren_SITE_GPP_WRF,AT-Neu_SITE_GPP_WRF,IT-MBo_SITE_GPP_WRF,CH-Dav_REF_RECO_WRF,IT-Lav_REF_RECO_WRF,IT-Ren_REF_RECO_WRF,AT-Neu_REF_RECO_WRF,IT-MBo_REF_RECO_WRF,CH-Dav_ALPS_RECO_WRF,IT-Lav_ALPS_RECO_WRF,IT-Ren_ALPS_RECO_WRF,AT-Neu_ALPS_RECO_WRF,IT-MBo_ALPS_RECO_WRF,CH-Dav_SITE_RECO_WRF,IT-Lav_SITE_RECO_WRF,IT-Ren_SITE_RECO_WRF,AT-Neu_SITE_RECO_WRF,IT-MBo_SITE_RECO_WRF,CH-Dav_REF_T2_WRF,IT-Lav_REF_T2_WRF,IT-Ren_REF_T2_WRF,AT-Neu_REF_T2_WRF,IT-MBo_REF_T2_WRF,CH-Dav_ALPS_T2_WRF,IT-Lav_ALPS_T2_WRF,IT-Ren_ALPS_T2_WRF,AT-Neu_ALPS_T2_WRF,IT-MBo_ALPS_T2_WRF,CH-Dav_SITE_T2_WRF,IT-Lav_SITE_T2_WRF,IT-Ren_SITE_T2_WRF,AT-Neu_SITE_T2_WRF,IT-MBo_SITE_T2_WRF,CH-Dav_ALPS_GPP_recalc,IT-Lav_ALPS_GPP_recalc,IT-Ren_ALPS_GPP_recalc,AT-Neu_ALPS_GPP_recalc,IT-MBo_ALPS_GPP_recalc,CH-Dav_SITE_GPP_recalc,IT-Lav_SITE_GPP_recalc,IT-Ren_SITE_GPP_recalc,AT-Neu_SITE_GPP_recalc,IT-MBo_SITE_GPP_recalc,CH-Dav_ALPS_RECO_recalc,IT-Lav_ALPS_RECO_recalc,IT-Ren_ALPS_RECO_recalc,AT-Neu_ALPS_RECO_recalc,IT-MBo_ALPS_RECO_recalc,CH-Dav_SITE_RECO_recalc,IT-Lav_SITE_RECO_recalc,IT-Ren_SITE_RECO_recalc,AT-Neu_SITE_RECO_recalc,IT-MBo_SITE_RECO_recalc,CH-Dav_ALPS_NEE_recalc,IT-Lav_ALPS_NEE_recalc,IT-Ren_ALPS_NEE_recalc,AT-Neu_ALPS_NEE_recalc,IT-MBo_ALPS_NEE_recalc,CH-Dav_SITE_NEE_recalc,IT-Lav_SITE_NEE_recalc,IT-Ren_SITE_NEE_recalc,AT-Neu_SITE_NEE_recalc,IT-MBo_SITE_NEE_recalc
2012-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94074625,0.76936376,0.2574321,0.5702433,0.65214884,1.7616093,1.5971922,0.43671852,1.4712472,0.0,1.3636459,1.8319991,0.16769277,2.3503342,267.69562,273.49304,272.91498,269.78763,272.9532,267.69562,273.49304,272.91498,269.78763,272.9532,267.69562,273.49304,272.91498,269.78763,272.9532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66507876,1.7646083,1.6001782,0.43943658,1.4741006,0.5122719308745552,1.0860991460616634,1.2362528565784174,0.5854454242109602,2.350258708118029,0.66507876,1.7646083,1.6001782,0.43943658,1.4741006,0.5122719308745552,1.0860991460616634,1.2362528565784174,0.5854454242109602,2.350258708118029
2012-01-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4144182,0.58458275,0.738647,0.1764642,0.5836048,1.1555082,1.413101,1.5529181,0.2201344,1.5215936,0.7383474,0.7558473,1.7891896,0.0,2.396864,270.81784,271.50827,272.72015,269.03607,273.08862,270.81784,271.50827,272.72015,269.03607,273.08862,270.81784,271.50827,272.72015,269.03607,273.08862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1582129,1.4160998,1.5559043,0.29962265,1.5244468,0.8913569420502709,0.8583325327034548,1.1726625764647527,0.3668973458295173,2.3967456699953877,1.1582129,1.4160998,1.5559043,0.29962265,1.5244468,0.8913569420502709,0.8583325327034548,1.1726625764647527,0.3668973458295173,2.3967456699953877
2012-01-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104229,0.5558977,0.8277612,0.15947632,0.6229185,1.1514983,1.3850325,1.6813639,0.17469285,1.6697283,0.7295594,0.706896,1.9133866,0.0,2.5337694,270.79297,271.34842,273.28537,268.8784,273.48712,270.79297,271.34842,273.28537,268.8784,273.48712,270.79297,271.34842,273.28537,268.8784,273.48712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1542032,1.3880314,1.6843501,0.29122925,1.6725817,0.8882556729377762,0.8399884897622014,1.3571480993321068,0.3210436924816911,2.5335250183943394,1.1542032,1.3880314,1.6843501,0.29122925,1.6725817,0.8882556729377762,0.8399884897622014,1.3571480993321068,0.3210436924816911,2.5335250183943394
2012-01-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1661848,0.8196264,0.74953544,0.1720323,0.60659754,0.9063747,1.6430928,1.5686123,0.20827934,1.6082305,0.19233929,1.1569532,1.8043647,0.0,2.4769335,269.27252,272.81808,272.7892,268.99493,273.3217,269.27252,272.81808,272.7892,268.99493,273.3217,269.27252,272.81808,272.7892,268.99493,273.3217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90963316,1.6460917,1.5715985,0.29743293,1.6110839,0.6992249054591051,1.0086430182014683,1.195204055771962,0.3549347515363356,2.476741372531978,0.90963316,1.6460917,1.5715985,0.29743293,1.6110839,0.6992249054591051,1.0086430182014683,1.195204055771962,0.3549347515363356,2.476741372531978
2012-01-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56461716,1.006035,0.8083708,0.18534118,0.5559546,1.3062518,1.8254946,1.6534154,0.24387978,1.4174068,1.0687214,1.4750621,1.8863626,0.0,2.3005745,271.75287,273.85687,273.16238,269.11847,272.80835,271.75287,273.85687,273.16238,269.11847,272.80835,271.75287,273.85687,273.16238,269.11847,272.80835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3089565,1.8284937,1.6564015,0.30400857,1.4202602,1.0079456344891995,1.1278512804537255,1.3170057389220082,0.39085803172832323,2.300545521757068,1.3089565,1.8284937,1.6564015,0.30400857,1.4202602,1.0079456344891995,1.1278512804537255,1.3170057389220082,0.39085803172832323,2.300545521757068
2012-01-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095264,0.9538456,0.7950429,0.18339485,0.50776833,1.3513238,1.774427,1.6342051,0.23867342,1.2358401,1.1675024,1.3860002,1.8677876,0.0,2.1327717,272.03244,273.56604,273.07785,269.1004,272.31992,272.03244,273.56604,273.07785,269.1004,272.31992,272.03244,273.56604,273.07785,269.1004,272.31992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3540286,1.777426,1.6371912,0.30304694,1.2386935,1.0428054214089102,1.094476188962671,1.289414091692238,0.3856044294868073,2.1328970709127413,1.3540286,1.777426,1.6371912,0.30304694,1.2386935,1.0428054214089102,1.094476188962671,1.289414091692238,0.3856044294868073,2.1328970709127413
2012-01-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9484997,0.3789139,0.70831037,0.20062602,0.4909897,1.6915263,1.2118528,1.5091919,0.28476578,1.1726179,1.9131001,0.40487045,1.74691,0.0,2.0743418,274.14264,270.36215,272.52774,269.26035,272.14984,274.14264,270.36215,272.52774,269.26035,272.14984,274.14264,270.36215,272.52774,269.26035,272.14984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.694231,1.2148516,1.5121782,0.3115605,1.1754713,1.305926225484585,0.7268073557844565,1.1098592061457275,0.432114783114823,2.0745212623182123,1.694231,1.2148516,1.5121782,0.3115605,1.1754713,1.305926225484585,0.7268073557844565,1.1098592061457275,0.432114783114823,2.0745212623182123
2012-01-12 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372821,0.50123197,0.21445438,0.50320715,0.733191,1.6603689,1.2107171,0.32175577,1.2186533,0.0,1.1870828,1.4583087,0.036834497,2.1168876,268.1983,272.91647,271.21432,269.3887,272.27368,268.1983,272.91647,271.21432,269.3887,272.27368,268.1983,272.91647,271.21432,269.3887,272.27368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7430378,1.6633679,1.2137033,0.32447383,1.2215068,0.5718687995337266,1.0199338151550004,0.6811627030862172,0.4694402071482963,2.117027817365152,0.7430378,1.6633679,1.2137033,0.32447383,1.2215068,0.5718687995337266,1.0199338151550004,0.6811627030862172,0.4694402071482963,2.117027817365152
2012-01-12 08:00:00,0.0,-0.37327102,0.0,0.0,0.0,0.0,-0.5140006,0.0,0.0,0.0,0.0,-0.39140877,0.0,0.0,0.0,0.17721476,1.0566745,0.49165708,0.2871404,0.5239087,0.91744465,1.8750459,1.1969161,0.51618636,1.2966572,0.21660055,1.5614793,1.4449643,0.2581483,2.1889787,269.3412,274.13907,271.1536,270.0634,272.48352,269.3412,274.13907,271.1536,270.0634,272.48352,269.3412,274.13907,271.1536,270.0634,272.48352,0.0,0.6868865,0.0,0.0,0.0,0.0,0.6001386452282912,0.0,0.0,0.0,0.92028207,1.8780448,1.1999023,0.5189044,1.2995107,0.7073655656389944,1.160235275313934,0.6613405449680791,0.6656338530189645,2.189052231486089,0.92028207,1.1911583,1.1999023,0.5189044,1.2995107,0.7073655656389944,0.5600966300856428,0.6613405449680791,0.6656338530189645,2.189052231486089
2012-01-12 09:00:00,-0.5400421,-1.2285849,-0.37564686,0.0,-0.03671355,-0.7134031,-1.6161562,-0.49390632,0.0,-0.044015512,-0.6611693,-1.3449731,-0.381405,0.0,-0.0359589,1.0084243,1.276872,0.9380318,0.48976237,0.7480703,1.7516683,2.0905106,1.8403037,1.0581875,2.1413023,2.044909,1.9372495,2.0670686,0.87509,2.9695964,274.5157,275.36615,273.98477,271.94415,274.7557,274.5157,275.36615,273.98477,271.94415,274.7557,274.5157,275.36615,273.98477,271.94415,274.7557,0.9190843,2.0732152,0.6407992,0.0,0.054742806,0.7511219637737521,1.9674794870040968,0.7097161696958066,0.0,0.05474280608084084,1.7543731,2.0935094,1.8432899,1.0609055,2.144156,1.352441456933831,1.3010515453835896,1.5854316268454172,1.2125498201513778,2.9689501013776463,0.83528876,0.020294284,1.2024906,1.0609055,2.0894132,0.6013194931600789,-0.6664279416205072,0.8757154571496105,1.2125498201513778,2.9142072952968054
