,CH-Cha_REF_GPP_WRF,CH-Cha_ALPS_GPP_WRF,CH-Fru_REF_GPP_WRF,CH-Fru_ALPS_GPP_WRF,CH-Oe1_REF_GPP_WRF,CH-Oe1_ALPS_GPP_WRF,DE-Lkb_REF_GPP_WRF,DE-Lkb_ALPS_GPP_WRF,IT-Isp_REF_GPP_WRF,IT-Isp_ALPS_GPP_WRF,IT-La2_REF_GPP_WRF,IT-La2_ALPS_GPP_WRF,IT-PT1_REF_GPP_WRF,IT-PT1_ALPS_GPP_WRF,CH-Oe2_REF_GPP_WRF,CH-Oe2_ALPS_GPP_WRF,CH-Oe2_SITE_GPP_WRF,IT-Tor_REF_GPP_WRF,IT-Tor_ALPS_GPP_WRF,IT-Tor_SITE_GPP_WRF,CH-Lae_REF_GPP_WRF,CH-Lae_ALPS_GPP_WRF,CH-Lae_SITE_GPP_WRF,CH-Dav_REF_GPP_WRF,IT-Lav_REF_GPP_WRF,IT-Ren_REF_GPP_WRF,AT-Neu_REF_GPP_WRF,IT-MBo_REF_GPP_WRF,CH-Dav_ALPS_GPP_WRF,IT-Lav_ALPS_GPP_WRF,IT-Ren_ALPS_GPP_WRF,AT-Neu_ALPS_GPP_WRF,IT-MBo_ALPS_GPP_WRF,CH-Dav_SITE_GPP_WRF,IT-Lav_SITE_GPP_WRF,IT-Ren_SITE_GPP_WRF,AT-Neu_SITE_GPP_WRF,IT-MBo_SITE_GPP_WRF,CH-Cha_REF_RECO_WRF,CH-Cha_ALPS_RECO_WRF,CH-Fru_REF_RECO_WRF,CH-Fru_ALPS_RECO_WRF,CH-Oe1_REF_RECO_WRF,CH-Oe1_ALPS_RECO_WRF,DE-Lkb_REF_RECO_WRF,DE-Lkb_ALPS_RECO_WRF,IT-Isp_REF_RECO_WRF,IT-Isp_ALPS_RECO_WRF,IT-La2_REF_RECO_WRF,IT-La2_ALPS_RECO_WRF,IT-PT1_REF_RECO_WRF,IT-PT1_ALPS_RECO_WRF,CH-Oe2_REF_RECO_WRF,CH-Oe2_ALPS_RECO_WRF,CH-Oe2_SITE_RECO_WRF,IT-Tor_REF_RECO_WRF,IT-Tor_ALPS_RECO_WRF,IT-Tor_SITE_RECO_WRF,CH-Lae_REF_RECO_WRF,CH-Lae_ALPS_RECO_WRF,CH-Lae_SITE_RECO_WRF,CH-Dav_REF_RECO_WRF,IT-Lav_REF_RECO_WRF,IT-Ren_REF_RECO_WRF,AT-Neu_REF_RECO_WRF,IT-MBo_REF_RECO_WRF,CH-Dav_ALPS_RECO_WRF,IT-Lav_ALPS_RECO_WRF,IT-Ren_ALPS_RECO_WRF,AT-Neu_ALPS_RECO_WRF,IT-MBo_ALPS_RECO_WRF,CH-Dav_SITE_RECO_WRF,IT-Lav_SITE_RECO_WRF,IT-Ren_SITE_RECO_WRF,AT-Neu_SITE_RECO_WRF,IT-MBo_SITE_RECO_WRF,CH-Cha_REF_T2_WRF,CH-Cha_ALPS_T2_WRF,CH-Fru_REF_T2_WRF,CH-Fru_ALPS_T2_WRF,CH-Oe1_REF_T2_WRF,CH-Oe1_ALPS_T2_WRF,DE-Lkb_REF_T2_WRF,DE-Lkb_ALPS_T2_WRF,IT-Isp_REF_T2_WRF,IT-Isp_ALPS_T2_WRF,IT-La2_REF_T2_WRF,IT-La2_ALPS_T2_WRF,IT-PT1_REF_T2_WRF,IT-PT1_ALPS_T2_WRF,CH-Oe2_REF_T2_WRF,CH-Oe2_ALPS_T2_WRF,CH-Oe2_SITE_T2_WRF,IT-Tor_REF_T2_WRF,IT-Tor_ALPS_T2_WRF,IT-Tor_SITE_T2_WRF,CH-Lae_REF_T2_WRF,CH-Lae_ALPS_T2_WRF,CH-Lae_SITE_T2_WRF,CH-Dav_REF_T2_WRF,IT-Lav_REF_T2_WRF,IT-Ren_REF_T2_WRF,AT-Neu_REF_T2_WRF,IT-MBo_REF_T2_WRF,CH-Dav_ALPS_T2_WRF,IT-Lav_ALPS_T2_WRF,IT-Ren_ALPS_T2_WRF,AT-Neu_ALPS_T2_WRF,IT-MBo_ALPS_T2_WRF,CH-Dav_SITE_T2_WRF,IT-Lav_SITE_T2_WRF,IT-Ren_SITE_T2_WRF,AT-Neu_SITE_T2_WRF,IT-MBo_SITE_T2_WRF,CH-Cha_ALPS_GPP_recalc,CH-Fru_ALPS_GPP_recalc,CH-Oe1_ALPS_GPP_recalc,DE-Lkb_ALPS_GPP_recalc,IT-Isp_ALPS_GPP_recalc,IT-La2_ALPS_GPP_recalc,IT-PT1_ALPS_GPP_recalc,CH-Oe2_ALPS_GPP_recalc,IT-Tor_ALPS_GPP_recalc,CH-Lae_ALPS_GPP_recalc,CH-Dav_ALPS_GPP_recalc,IT-Lav_ALPS_GPP_recalc,IT-Ren_ALPS_GPP_recalc,AT-Neu_ALPS_GPP_recalc,IT-MBo_ALPS_GPP_recalc,CH-Dav_SITE_GPP_recalc,IT-Lav_SITE_GPP_recalc,IT-Ren_SITE_GPP_recalc,AT-Neu_SITE_GPP_recalc,IT-MBo_SITE_GPP_recalc,CH-Cha_ALPS_RECO_recalc,CH-Fru_ALPS_RECO_recalc,CH-Oe1_ALPS_RECO_recalc,DE-Lkb_ALPS_RECO_recalc,IT-Isp_ALPS_RECO_recalc,IT-La2_ALPS_RECO_recalc,IT-PT1_ALPS_RECO_recalc,CH-Oe2_ALPS_RECO_recalc,IT-Tor_ALPS_RECO_recalc,CH-Lae_ALPS_RECO_recalc,CH-Dav_ALPS_RECO_recalc,IT-Lav_ALPS_RECO_recalc,IT-Ren_ALPS_RECO_recalc,AT-Neu_ALPS_RECO_recalc,IT-MBo_ALPS_RECO_recalc,CH-Dav_SITE_RECO_recalc,IT-Lav_SITE_RECO_recalc,IT-Ren_SITE_RECO_recalc,AT-Neu_SITE_RECO_recalc,IT-MBo_SITE_RECO_recalc,CH-Cha_ALPS_NEE_recalc,CH-Fru_ALPS_NEE_recalc,CH-Oe1_ALPS_NEE_recalc,DE-Lkb_ALPS_NEE_recalc,IT-Isp_ALPS_NEE_recalc,IT-La2_ALPS_NEE_recalc,IT-PT1_ALPS_NEE_recalc,CH-Oe2_ALPS_NEE_recalc,IT-Tor_ALPS_NEE_recalc,CH-Lae_ALPS_NEE_recalc,CH-Dav_ALPS_NEE_recalc,IT-Lav_ALPS_NEE_recalc,IT-Ren_ALPS_NEE_recalc,AT-Neu_ALPS_NEE_recalc,IT-MBo_ALPS_NEE_recalc,CH-Dav_SITE_NEE_recalc,IT-Lav_SITE_NEE_recalc,IT-Ren_SITE_NEE_recalc,AT-Neu_SITE_NEE_recalc,IT-MBo_SITE_NEE_recalc
2012-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024062304,1.0475824,0.055814445,0.4420579,0.032736924,1.0142593,0.67901516,1.8269576,0.8038126,1.4722185,0.66199154,1.5456121,0.0,0.7954652,0.032736924,1.0142593,0.7940065,0.0,0.0,0.0,0.024062304,1.0475824,0.79276806,0.14716446,0.5111108,0.0,0.0,0.5111108,0.7158195,1.5531957,0.57297546,0.0,1.5531957,0.6518618,1.4968913,0.7249303,0.0,1.59668,271.86575,271.86575,269.72366,269.72366,271.48074,271.48074,274.13272,274.13272,276.4932,276.4932,274.2912,274.2912,272.21896,272.21896,271.48074,271.48074,271.48074,266.0455,266.0455,266.0455,271.86575,271.86575,271.86575,270.48438,273.6673,268.5941,259.03528,273.6673,270.48438,273.6673,268.5941,259.03528,273.6673,270.48438,273.6673,268.5941,259.03528,273.6673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0470065,0.44875506,1.0138544,1.8283665,1.4721584,1.5461683,0.7938929,1.0138544,0.21311454,1.0470065,0.72380084,1.5535214,0.6249974,0.0,1.5535214,0.66098990208095,1.450109532785508,0.230643735906011,0.0,1.596845999331949,1.0470065,0.44875506,1.0138544,1.8283665,1.4721584,1.5461683,0.7938929,1.0138544,0.21311454,1.0470065,0.72380084,1.5535214,0.6249974,0.0,1.5535214,0.66098990208095,1.450109532785508,0.230643735906011,0.0,1.596845999331949
2012-01-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033824444,1.0600088,0.08456608,0.49883994,0.1174577,1.130757,0.49780726,1.5443437,0.8759644,1.5751039,0.62152845,1.4896672,0.0,0.74617106,0.1174577,1.130757,0.9059289,0.0,0.043361813,0.0,0.033824444,1.0600088,0.80561906,0.0,0.4229357,0.0,0.0,0.4229357,0.24035054,1.4479512,0.47989085,0.0,1.4479512,0.15170164,1.3801095,0.63413054,0.0,1.4922751,271.93167,271.93167,270.03986,270.03986,272.03973,272.03973,272.958,272.958,277.11707,277.11707,274.01678,274.01678,271.98956,271.98956,272.03973,272.03973,272.03973,266.5849,266.5849,266.5849,271.93167,271.93167,271.93167,268.07434,273.0788,268.05945,258.80713,273.0788,268.07434,273.0788,268.05945,258.80713,273.0788,268.07434,273.0788,268.05945,258.80713,273.0788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0594324,0.50502867,1.1303477,1.5457544,1.5750439,1.4902234,0.7445991,1.1303477,0.24076638,1.0594324,0.41299307,1.4483354,0.57061625,0.0,1.4483354,0.37189414877825966,1.3502961129931121,0.21691009503350783,0.0,1.4925090338481415,1.0594324,0.50502867,1.1303477,1.5457544,1.5750439,1.4902234,0.7445991,1.1303477,0.24076638,1.0594324,0.41299307,1.4483354,0.57061625,0.0,1.4483354,0.37189414877825966,1.3502961129931121,0.21691009503350783,0.0,1.4925090338481415
2012-01-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01747282,1.0391948,0.08916423,0.507921,0.11884989,1.1326714,0.56368476,1.6470871,0.7692243,1.4228971,0.58349997,1.4370879,0.0,0.72213054,0.11884989,1.1326714,0.9077681,0.0,0.07456182,0.0,0.01747282,1.0391948,0.7840936,0.0,0.34665352,0.0,0.0,0.34665352,0.19434005,1.3569021,0.4101319,0.0,1.3569021,0.10330187,1.2790792,0.5660839,0.0,1.4019523,271.82126,271.82126,270.09042,270.09042,272.04892,272.04892,273.38507,273.38507,276.19412,276.19412,273.75888,273.75888,271.8777,271.8777,272.04892,272.04892,272.04892,266.83594,266.83594,266.83594,271.82126,271.82126,271.82126,267.84113,272.56967,267.65878,259.22656,272.56967,267.84113,272.56967,267.65878,259.22656,272.56967,267.84113,272.56967,267.65878,259.22656,272.56967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038619,0.5140284,1.1322621,1.648496,1.4228371,1.4376444,0.7205588,1.1322621,0.25363562,1.038619,0.39760825,1.3577048,0.5298622,0.0,1.3577048,0.35861037825276154,1.2643132682836415,0.2066178996447816,0.0,1.4026127732099316,1.038619,0.5140284,1.1322621,1.648496,1.4228371,1.4376444,0.7205588,1.1322621,0.25363562,1.038619,0.39760825,1.3577048,0.5298622,0.0,1.3577048,0.35861037825276154,1.2643132682836415,0.2066178996447816,0.0,1.4026127732099316
2012-01-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0156484,0.068840235,0.46778274,0.07880908,1.0776122,0.68137836,1.8306432,0.73421264,1.3729718,0.55036294,1.391272,0.0,0.7124842,0.07880908,1.0776122,0.85487115,0.0,0.0,0.0,0.0,1.0156484,0.7597424,0.0,0.28483406,0.0,0.0,0.28483406,0.17704251,1.2831153,0.34229642,0.0,1.2831153,0.08510607,1.1972035,0.4999135,0.0,1.3287541,271.69635,271.69635,269.8669,269.8669,271.78473,271.78473,274.14804,274.14804,275.8914,275.8914,273.53415,273.53415,271.8328,271.8328,271.78473,271.78473,271.78473,265.61447,265.61447,265.61447,271.69635,271.69635,271.69635,267.75345,272.15707,267.26917,257.92065,272.15707,267.75345,272.15707,267.26917,257.92065,272.15707,267.75345,272.15707,267.26917,257.92065,272.15707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0150733,0.47424954,1.077205,1.8320522,1.3729118,1.3918282,0.7109125,1.077205,0.1910181,1.0150733,0.39182436,1.284257,0.4902319,0.0,1.284257,0.3536163619324585,1.1946322720316462,0.19660948632100464,0.0,1.3297603219824186,1.0150733,0.47424954,1.077205,1.8320522,1.3729118,1.3918282,0.7109125,1.077205,0.1910181,1.0150733,0.39182436,1.284257,0.4902319,0.0,1.284257,0.3536163619324585,1.1946322720316462,0.19660948632100464,0.0,1.3297603219824186
2012-01-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027030203,1.0203943,0.041340142,0.41347232,0.044485062,1.030414,0.716492,1.8854067,0.693356,1.314712,0.5178737,1.3463517,0.0,0.6950801,0.044485062,1.030414,0.8095267,0.0,0.0,0.0,0.0027030203,1.0203943,0.7646507,0.0,0.23825905,0.0,0.0,0.23825905,0.0,1.2275242,0.2492914,0.0,1.2275242,0.0,1.1355182,0.40919143,0.0,1.2736064,271.72153,271.72153,269.56448,269.56448,271.55826,271.55826,274.37567,274.37567,275.53812,275.53812,273.3138,273.3138,271.7518,271.7518,271.55826,271.55826,271.55826,265.55515,265.55515,265.55515,271.72153,271.72153,271.72153,266.01566,271.84622,266.735,259.72055,271.84622,266.01566,271.84622,266.735,259.72055,271.84622,266.01566,271.84622,266.735,259.72055,271.84622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0198193,0.42042544,1.0300084,1.8868158,1.3146521,1.346908,0.6935085,1.0300084,0.18797679,1.0198193,0.27718517,1.2289215,0.43589732,0.00085692754,1.2289215,0.2546329768495007,1.1421344445299577,0.18288760437384466,0.0008569275304303498,1.274873112795773,1.0198193,0.42042544,1.0300084,1.8868158,1.3146521,1.346908,0.6935085,1.0300084,0.18797679,1.0198193,0.27718517,1.2289215,0.43589732,0.00085692754,1.2289215,0.2546329768495007,1.1421344445299577,0.18288760437384466,0.0008569275304303498,1.274873112795773
2012-01-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067570396,1.0255548,0.008686878,0.3489849,0.04325475,1.0287222,0.72580814,1.8999364,0.6488924,1.2513089,0.46480224,1.2729739,0.0,0.67008877,0.04325475,1.0287222,0.8079013,0.0,0.0,0.0,0.0067570396,1.0255548,0.76998734,0.21459931,0.20273568,0.0,0.0,0.20273568,0.8376007,1.1851242,0.19088168,0.0,1.1851242,0.7799671,1.08847,0.35221547,0.0,1.2315444,271.7489,271.7489,269.20538,269.20538,271.55014,271.55014,274.43607,274.43607,275.15366,275.15366,272.9539,272.9539,271.6355,271.6355,271.55014,271.55014,271.55014,265.39862,265.39862,265.39862,271.7489,271.7489,271.7489,271.10165,271.60913,266.3995,258.32187,271.60913,271.10165,271.60913,266.3995,258.32187,271.60913,271.10165,271.60913,266.3995,258.32187,271.60913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0249794,0.37541792,1.0283167,1.9013455,1.251249,1.2736148,0.66851735,1.0283167,0.17995268,1.0249794,0.8440658,1.1867162,0.4017737,0.0,1.1867162,0.7756938051405378,1.1020936412842661,0.17426987995399032,0.0,1.2330098958145195,1.0249794,0.37541792,1.0283167,1.9013455,1.251249,1.2736148,0.66851735,1.0283167,0.17995268,1.0249794,0.8440658,1.1867162,0.4017737,0.0,1.1867162,0.7756938051405378,1.1020936412842661,0.17426987995399032,0.0,1.2330098958145195
2012-01-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01683104,1.0383779,0.0,0.27791545,0.06685279,1.0611713,0.71905756,1.8894081,0.6105841,1.1966832,0.39877993,1.1816901,0.0,0.63933986,0.06685279,1.0611713,0.8390761,0.0,0.0,0.0,0.01683104,1.0383779,0.7832488,0.0,0.16764672,0.0,0.0,0.16764672,0.0,1.1432424,0.1539805,0.0,1.1432424,0.0,1.0419971,0.31622005,0.0,1.1899968,271.81693,271.81693,268.80963,268.80963,271.70584,271.70584,274.3923,274.3923,274.82242,274.82242,272.50613,272.50613,271.4924,271.4924,271.70584,271.70584,271.70584,265.1421,265.1421,265.1421,271.81693,271.81693,271.81693,266.1485,271.37494,266.18756,257.92285,271.37494,266.1485,271.37494,266.18756,257.92285,271.37494,266.1485,271.37494,266.18756,257.92285,271.37494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0378022,0.35225266,1.0607647,1.8908172,1.196623,1.1825244,0.6377685,1.0607647,0.16680183,1.0378022,0.2859486,1.145027,0.38021556,0.0,1.145027,0.262199615569403,1.062542460423481,0.16882549752008802,0.0,1.191658585850027,1.0378022,0.35225266,1.0607647,1.8908172,1.196623,1.1825244,0.6377685,1.0607647,0.16680183,1.0378022,0.2859486,1.145027,0.38021556,0.0,1.145027,0.262199615569403,1.062542460423481,0.16882549752008802,0.0,1.191658585850027
2012-01-12 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023876991,1.0473466,0.0,0.20314679,0.0,0.91215456,0.7113278,1.8773528,0.5756923,1.1469288,0.3455329,1.1080694,0.0,0.66129506,0.0,0.91215456,0.6959117,0.0,0.0,0.0,0.023876991,1.0473466,0.7925241,0.21886003,0.15609671,0.0,0.0,0.15609671,0.84529537,1.1294565,0.12696743,0.0,1.1294565,0.78806126,1.0266999,0.28987002,0.0,1.1763209,271.8645,271.8645,268.39328,268.39328,270.9908,270.9908,274.3422,274.3422,274.52072,274.52072,272.14502,272.14502,271.59457,271.59457,270.9908,270.9908,270.9908,264.95004,264.95004,264.95004,271.8645,271.8645,271.8645,271.14066,271.29785,266.0324,257.82364,271.29785,271.14066,271.29785,266.0324,257.82364,271.29785,271.14066,271.29785,266.0324,257.82364,271.29785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0467707,0.33075404,0.9117534,1.8787616,1.1468688,1.1090598,0.6597235,0.9117534,0.15695669,1.0467707,0.8516645,1.1313045,0.36443418,0.0,1.1313045,0.7829411274379696,1.0495236589048023,0.1648400057570989,0.0,1.178047247699088,1.0467707,0.33075404,0.9117534,1.8787616,1.1468688,1.1090598,0.6597235,0.9117534,0.15695669,1.0467707,0.8516645,1.1313045,0.36443418,0.0,1.1313045,0.7829411274379696,1.0495236589048023,0.1648400057570989,0.0,1.178047247699088
2012-01-12 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.13764352,-0.18481238,-0.10140532,-0.14208929,-0.032591484,-0.043048304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14019594,1.1954079,0.06000469,0.45033324,0.11132462,1.1223236,0.7325541,1.9104576,0.66760534,1.2779927,0.5258475,1.3573766,0.0,0.87007844,0.11132462,1.1223236,0.8978266,0.0,0.10496536,0.0,0.14019594,1.1954079,0.94564664,0.24606135,0.3409105,0.0,0.0,0.3409105,0.89441836,1.3500472,0.44042325,0.0,1.3500472,0.8397353,1.2714728,0.5956317,0.0,1.3951521,272.64993,272.64993,269.76974,269.76974,271.99927,271.99927,274.4798,274.4798,275.31546,275.31546,273.3679,273.3679,272.5662,272.5662,271.99927,271.99927,271.99927,267.08057,267.08057,267.08057,272.64993,272.64993,272.64993,271.38965,272.53134,267.83276,262.86505,272.53134,271.38965,272.53134,267.83276,262.86505,272.53134,271.38965,272.53134,267.83276,262.86505,272.53134,0.0,0.0,0.0,0.2663336,0.12505016,0.05499523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.194828,0.45695633,1.1219146,1.9118665,1.2779329,1.3579328,0.86850584,1.1219146,0.26617634,1.194828,0.900176,1.3508815,0.54755884,0.02647011,1.3508815,0.8292094393509164,1.2578399449631898,0.2110870752035544,0.02647010938821612,1.395844823598855,1.194828,0.45695633,1.1219146,1.645533,1.1528827,1.3029375,0.86850584,1.1219146,0.26617634,1.194828,0.900176,1.3508815,0.54755884,0.02647011,1.3508815,0.8292094393509164,1.2578399449631898,0.2110870752035544,0.02647010938821612,1.395844823598855
2012-01-12 09:00:00,-0.20848006,-0.22631812,0.0,0.0,-0.082963414,-0.09049943,-0.31464088,-0.40551955,-0.24576841,-0.32718325,-0.4063391,-0.5152486,-0.017789638,-0.023830805,-0.082963414,-0.09049943,-0.0841786,0.0,0.0,0.0,-0.20848006,-0.22631812,-0.20610407,0.0,-0.040849913,0.0,0.0,-0.040849913,0.0,-0.047621872,0.0,0.0,-0.047621872,0.0,-0.04361995,0.0,0.0,-0.042232215,0.41216275,1.5415921,0.16730507,0.6622426,0.38835883,1.5032673,0.77193284,1.971873,0.79640085,1.4616495,0.77576184,1.7029136,0.27748582,1.260608,0.38835883,1.5032673,1.2638091,0.0,0.3661677,0.24490342,0.41216275,1.5415921,1.3036643,0.30030394,0.4693141,0.10763638,0.0,0.4693141,0.9923756,1.5033078,0.7925498,0.0,1.5033078,0.94277954,1.4415344,0.93911487,0.0,1.5471902,274.48636,274.48636,270.94977,270.94977,273.82715,273.82715,274.73508,274.73508,276.4291,276.4291,275.06277,275.06277,274.3836,274.3836,273.82715,273.82715,273.82715,269.18222,269.18222,269.18222,274.48636,274.48636,274.48636,271.88617,273.38834,269.85522,264.65573,273.38834,271.88617,273.38834,269.85522,264.65573,273.38834,271.88617,273.38834,269.85522,264.65573,273.38834,0.26455545,0.0,0.089734204,0.56820625,0.28795218,0.6291997,0.019145293,0.089734204,0.0,0.26455545,0.0,0.05743858,0.0,0.0,0.05743858,0.0,0.05253361316244484,0.0,0.0,0.05743857870014968,1.5410098,0.6669681,1.5028493,1.973282,1.4615896,1.7034699,1.2590348,1.5028493,0.38078097,1.5410098,0.99691355,1.5036334,0.7960486,0.1272421,1.5036334,0.921473863278315,1.4027682394171443,0.4112934327989982,0.12724210302469452,1.5473604552290285,1.2764542,0.6669681,1.4131151,1.4050757,1.1736374,1.0742701,1.2398894,1.4131151,0.38078097,1.2764542,0.99691355,1.4461949,0.7960486,0.1272421,1.4461949,0.921473863278315,1.3502346262546996,0.4112934327989982,0.12724210302469452,1.4899218765288789
