,CH-Cha_REF_GPP_WRF,CH-Cha_ALPS_GPP_WRF,CH-Fru_REF_GPP_WRF,CH-Fru_ALPS_GPP_WRF,CH-Oe1_REF_GPP_WRF,CH-Oe1_ALPS_GPP_WRF,DE-Lkb_REF_GPP_WRF,DE-Lkb_ALPS_GPP_WRF,IT-Isp_REF_GPP_WRF,IT-Isp_ALPS_GPP_WRF,IT-La2_REF_GPP_WRF,IT-La2_ALPS_GPP_WRF,IT-PT1_REF_GPP_WRF,IT-PT1_ALPS_GPP_WRF,CH-Oe2_REF_GPP_WRF,CH-Oe2_ALPS_GPP_WRF,CH-Oe2_SITE_GPP_WRF,IT-Tor_REF_GPP_WRF,IT-Tor_ALPS_GPP_WRF,IT-Tor_SITE_GPP_WRF,CH-Lae_REF_GPP_WRF,CH-Lae_ALPS_GPP_WRF,CH-Lae_SITE_GPP_WRF,CH-Dav_REF_GPP_WRF,IT-Lav_REF_GPP_WRF,IT-Ren_REF_GPP_WRF,AT-Neu_REF_GPP_WRF,IT-MBo_REF_GPP_WRF,CH-Dav_ALPS_GPP_WRF,IT-Lav_ALPS_GPP_WRF,IT-Ren_ALPS_GPP_WRF,AT-Neu_ALPS_GPP_WRF,IT-MBo_ALPS_GPP_WRF,CH-Dav_SITE_GPP_WRF,IT-Lav_SITE_GPP_WRF,IT-Ren_SITE_GPP_WRF,AT-Neu_SITE_GPP_WRF,IT-MBo_SITE_GPP_WRF,CH-Cha_REF_RECO_WRF,CH-Cha_ALPS_RECO_WRF,CH-Fru_REF_RECO_WRF,CH-Fru_ALPS_RECO_WRF,CH-Oe1_REF_RECO_WRF,CH-Oe1_ALPS_RECO_WRF,DE-Lkb_REF_RECO_WRF,DE-Lkb_ALPS_RECO_WRF,IT-Isp_REF_RECO_WRF,IT-Isp_ALPS_RECO_WRF,IT-La2_REF_RECO_WRF,IT-La2_ALPS_RECO_WRF,IT-PT1_REF_RECO_WRF,IT-PT1_ALPS_RECO_WRF,CH-Oe2_REF_RECO_WRF,CH-Oe2_ALPS_RECO_WRF,CH-Oe2_SITE_RECO_WRF,IT-Tor_REF_RECO_WRF,IT-Tor_ALPS_RECO_WRF,IT-Tor_SITE_RECO_WRF,CH-Lae_REF_RECO_WRF,CH-Lae_ALPS_RECO_WRF,CH-Lae_SITE_RECO_WRF,CH-Dav_REF_RECO_WRF,IT-Lav_REF_RECO_WRF,IT-Ren_REF_RECO_WRF,AT-Neu_REF_RECO_WRF,IT-MBo_REF_RECO_WRF,CH-Dav_ALPS_RECO_WRF,IT-Lav_ALPS_RECO_WRF,IT-Ren_ALPS_RECO_WRF,AT-Neu_ALPS_RECO_WRF,IT-MBo_ALPS_RECO_WRF,CH-Dav_SITE_RECO_WRF,IT-Lav_SITE_RECO_WRF,IT-Ren_SITE_RECO_WRF,AT-Neu_SITE_RECO_WRF,IT-MBo_SITE_RECO_WRF,CH-Cha_REF_T2_WRF,CH-Cha_ALPS_T2_WRF,CH-Fru_REF_T2_WRF,CH-Fru_ALPS_T2_WRF,CH-Oe1_REF_T2_WRF,CH-Oe1_ALPS_T2_WRF,DE-Lkb_REF_T2_WRF,DE-Lkb_ALPS_T2_WRF,IT-Isp_REF_T2_WRF,IT-Isp_ALPS_T2_WRF,IT-La2_REF_T2_WRF,IT-La2_ALPS_T2_WRF,IT-PT1_REF_T2_WRF,IT-PT1_ALPS_T2_WRF,CH-Oe2_REF_T2_WRF,CH-Oe2_ALPS_T2_WRF,CH-Oe2_SITE_T2_WRF,IT-Tor_REF_T2_WRF,IT-Tor_ALPS_T2_WRF,IT-Tor_SITE_T2_WRF,CH-Lae_REF_T2_WRF,CH-Lae_ALPS_T2_WRF,CH-Lae_SITE_T2_WRF,CH-Dav_REF_T2_WRF,IT-Lav_REF_T2_WRF,IT-Ren_REF_T2_WRF,AT-Neu_REF_T2_WRF,IT-MBo_REF_T2_WRF,CH-Dav_ALPS_T2_WRF,IT-Lav_ALPS_T2_WRF,IT-Ren_ALPS_T2_WRF,AT-Neu_ALPS_T2_WRF,IT-MBo_ALPS_T2_WRF,CH-Dav_SITE_T2_WRF,IT-Lav_SITE_T2_WRF,IT-Ren_SITE_T2_WRF,AT-Neu_SITE_T2_WRF,IT-MBo_SITE_T2_WRF,CH-Cha_ALPS_GPP_recalc,CH-Fru_ALPS_GPP_recalc,CH-Oe1_ALPS_GPP_recalc,DE-Lkb_ALPS_GPP_recalc,IT-Isp_ALPS_GPP_recalc,IT-La2_ALPS_GPP_recalc,IT-PT1_ALPS_GPP_recalc,CH-Oe2_ALPS_GPP_recalc,IT-Tor_ALPS_GPP_recalc,CH-Lae_ALPS_GPP_recalc,CH-Dav_ALPS_GPP_recalc,IT-Lav_ALPS_GPP_recalc,IT-Ren_ALPS_GPP_recalc,AT-Neu_ALPS_GPP_recalc,IT-MBo_ALPS_GPP_recalc,CH-Dav_SITE_GPP_recalc,IT-Lav_SITE_GPP_recalc,IT-Ren_SITE_GPP_recalc,AT-Neu_SITE_GPP_recalc,IT-MBo_SITE_GPP_recalc,CH-Cha_ALPS_RECO_recalc,CH-Fru_ALPS_RECO_recalc,CH-Oe1_ALPS_RECO_recalc,DE-Lkb_ALPS_RECO_recalc,IT-Isp_ALPS_RECO_recalc,IT-La2_ALPS_RECO_recalc,IT-PT1_ALPS_RECO_recalc,CH-Oe2_ALPS_RECO_recalc,IT-Tor_ALPS_RECO_recalc,CH-Lae_ALPS_RECO_recalc,CH-Dav_ALPS_RECO_recalc,IT-Lav_ALPS_RECO_recalc,IT-Ren_ALPS_RECO_recalc,AT-Neu_ALPS_RECO_recalc,IT-MBo_ALPS_RECO_recalc,CH-Dav_SITE_RECO_recalc,IT-Lav_SITE_RECO_recalc,IT-Ren_SITE_RECO_recalc,AT-Neu_SITE_RECO_recalc,IT-MBo_SITE_RECO_recalc,CH-Cha_ALPS_NEE_recalc,CH-Fru_ALPS_NEE_recalc,CH-Oe1_ALPS_NEE_recalc,DE-Lkb_ALPS_NEE_recalc,IT-Isp_ALPS_NEE_recalc,IT-La2_ALPS_NEE_recalc,IT-PT1_ALPS_NEE_recalc,CH-Oe2_ALPS_NEE_recalc,IT-Tor_ALPS_NEE_recalc,CH-Lae_ALPS_NEE_recalc,CH-Dav_ALPS_NEE_recalc,IT-Lav_ALPS_NEE_recalc,IT-Ren_ALPS_NEE_recalc,AT-Neu_ALPS_NEE_recalc,IT-MBo_ALPS_NEE_recalc,CH-Dav_SITE_NEE_recalc,IT-Lav_SITE_NEE_recalc,IT-Ren_SITE_NEE_recalc,AT-Neu_SITE_NEE_recalc,IT-MBo_SITE_NEE_recalc
2012-01-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6955532,1.8240471,0.85992956,1.9482276,0.73474485,2.0466077,0.786227,1.8767663,0.13669069,0.7135974,0.7276125,1.7277633,0.0,0.71644866,0.82426834,2.2473593,1.9296911,0.0,0.0,0.0006324807,0.78821456,2.0725195,1.752174,0.5722753,0.8195139,1.1492703,0.35719293,0.0,1.3928318,1.7532417,2.1099496,0.7297171,0.8451011,1.3810966,1.580784,2.2557642,0.62159324,1.023654,276.22137,276.22137,274.59784,274.59784,275.76227,275.76227,273.48175,273.48175,272.90677,272.90677,273.243,273.243,272.2608,272.2608,277.1925,277.1925,277.1925,266.93695,266.93695,266.93695,277.3792,277.3792,277.3792,273.1249,274.32385,275.9685,271.438,269.11093,273.1249,274.32385,275.9685,271.438,269.11093,273.1249,274.32385,275.9685,271.438,269.11093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.824987,1.9508861,2.0475965,1.8789991,0.71318907,1.7301567,0.7151558,2.2461424,0.038835123,2.0719879,1.394786,1.7551268,2.1125083,0.7320306,0.86769277,1.2048717085125364,1.3207146202271358,2.056474818844901,0.8842155397676535,1.0297879762709312,1.824987,1.9508861,2.0475965,1.8789991,0.71318907,1.7301567,0.7151558,2.2461424,0.038835123,2.0719879,1.394786,1.7551268,2.1125083,0.7320306,0.86769277,1.2048717085125364,1.3207146202271358,2.056474818844901,0.8842155397676535,1.0297879762709312
2012-01-20 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70281935,1.8361889,0.8576255,1.9433184,0.72291803,2.0222948,0.81119055,1.9038773,0.116747744,0.68926066,1.1329758,2.2536356,0.0,0.7441033,0.82930833,2.2534542,1.9358704,0.0016152915,0.0,0.057954215,0.77512836,2.0582564,1.7382601,0.5332859,0.8624343,1.1482462,0.33208215,0.80519944,1.3344777,1.7990911,2.1086097,0.64972544,1.9642677,1.3002799,1.6482728,2.2544596,0.5352542,2.1162262,276.28876,276.28876,274.58008,274.58008,275.6726,275.6726,273.62415,273.62415,272.67673,272.67673,275.78366,275.78366,272.41364,272.41364,277.22202,277.22202,277.22202,267.65616,267.65616,267.65616,277.28687,277.28687,277.28687,272.8352,274.60184,275.9617,271.13852,274.32977,272.8352,274.60184,275.9617,271.13852,274.32977,272.8352,274.60184,275.9617,271.13852,274.32977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.837129,1.9459769,2.0232837,1.90611,0.6888523,2.2560287,0.7428105,2.2522373,0.043509394,2.0577247,1.3367326,1.8009763,2.1111684,0.6520389,1.9659336,1.1525419773149785,1.3564874276867596,2.054516842172139,0.8034315637986871,2.1172836875914696,1.837129,1.9459769,2.0232837,1.90611,0.6888523,2.2560287,0.7428105,2.2522373,0.043509394,2.0577247,1.3367326,1.8009763,2.1111684,0.6520389,1.9659336,1.1525419773149785,1.3564874276867596,2.054516842172139,0.8034315637986871,2.1172836875914696
2012-01-20 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69862354,1.8291777,0.8588369,1.9458995,0.70375276,1.982896,0.6067751,1.6818767,0.13627797,0.71309376,0.9305376,1.9910153,0.0,0.73171175,0.816388,2.2378292,1.9200288,0.0,0.0,0.035044488,0.7637895,2.0458977,1.7262043,0.5309736,0.89288706,1.1071928,0.3183382,0.6991217,1.3310167,1.831622,2.054903,0.60594314,1.8251661,1.2954869,1.696157,2.2021642,0.48799783,1.9804301,276.24985,276.24985,274.58942,274.58942,275.5273,275.5273,272.45813,272.45813,272.902,272.902,274.51486,274.51486,272.34515,272.34515,277.14636,277.14636,277.14636,267.3687,267.3687,267.3687,277.20685,277.20685,277.20685,272.81802,274.79907,275.68893,270.9746,273.68112,272.81802,274.79907,275.68893,270.9746,273.68112,272.81802,274.79907,275.68893,270.9746,273.68112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8301177,1.9485581,1.9838848,1.6842389,0.7126854,1.9934086,0.73041886,2.236612,0.04164123,2.045366,1.3332897,1.8335072,2.0574617,0.6082566,1.826832,1.1494384653941712,1.381868880602727,1.9760397323015504,0.7592156527695094,1.9815247902797182,1.8301177,1.9485581,1.9838848,1.6842389,0.7126854,1.9934086,0.73041886,2.236612,0.04164123,2.045366,1.3332897,1.8335072,2.0574617,0.6082566,1.826832,1.1494384653941712,1.381868880602727,1.9760397323015504,0.7592156527695094,1.9815247902797182
2012-01-20 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7176346,1.8609456,0.84260905,1.9113237,0.681198,1.9365292,0.50934505,1.5760647,0.11498839,0.68711364,1.0936284,2.2025907,0.0,0.70154446,0.8098887,2.2299693,1.9120603,0.00025618263,0.0,0.054493073,0.76062375,2.0424473,1.7228386,0.45863017,0.8752222,0.93839556,0.29983708,0.71103466,1.2227422,1.8127518,1.83408,0.5470071,1.8407876,1.1455336,1.6683806,1.9871442,0.42438516,1.9956805,276.42615,276.42615,274.46432,274.46432,275.35632,275.35632,271.90237,271.90237,272.65643,272.65643,275.53705,275.53705,272.17844,272.17844,277.1083,277.1083,277.1083,267.61273,267.61273,267.61273,277.1845,277.1845,277.1845,272.2805,274.68466,274.5674,270.75397,273.75397,272.2805,274.68466,274.5674,270.75397,273.75397,272.2805,274.68466,274.5674,270.75397,273.75397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8618857,1.9139822,1.9375181,1.5785313,0.68670535,2.204984,0.70025164,2.2287521,0.043227155,2.0419157,1.2255733,1.814637,1.8366388,0.5493205,1.8424536,1.0523420906639718,1.3671458314023617,1.6533686886962544,0.699695817219155,1.996770920031925,1.8618857,1.9139822,1.9375181,1.5785313,0.68670535,2.204984,0.70025164,2.2287521,0.043227155,2.0419157,1.2255733,1.814637,1.8366388,0.5493205,1.8424536,1.0523420906639718,1.3671458314023617,1.6533686886962544,0.699695817219155,1.996770920031925
2012-01-20 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6593708,1.7635851,0.7795466,1.7769594,0.6631196,1.8993647,0.5977871,1.6721152,0.096823305,0.6649465,0.9988367,2.0796187,0.0,0.65116084,0.8229654,2.2457836,1.9280936,0.0,0.0,0.0,0.74508137,2.0255072,1.7063134,0.35833344,0.88805753,0.9026196,0.27228257,0.6846637,1.0726305,1.8264629,1.7872776,0.45923054,1.8062068,0.9376389,1.6885626,1.9415717,0.32964364,1.9619213,275.88583,275.88583,273.9782,273.9782,275.21927,275.21927,272.40686,272.40686,272.4469,272.4469,274.94293,274.94293,271.9,271.9,277.18488,277.18488,277.18488,266.22467,266.22467,266.22467,277.07483,277.07483,277.07483,271.53525,274.7678,274.3297,270.42535,273.5927,271.53525,274.7678,274.3297,270.42535,273.5927,271.53525,274.7678,274.3297,270.42535,273.5927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764525,1.7796179,1.9003537,1.6744872,0.66453815,2.082012,0.649868,2.2445664,0.034205876,2.0249755,1.0762355,1.8283479,1.7898363,0.46154404,1.8078729,0.9177279501557694,1.3778435070550146,1.5849799877808355,0.6110499542584058,1.9630212134501657,1.764525,1.7796179,1.9003537,1.6744872,0.66453815,2.082012,0.649868,2.2445664,0.034205876,2.0249755,1.0762355,1.8283479,1.7898363,0.46154404,1.8078729,0.9177279501557694,1.3778435070550146,1.5849799877808355,0.6110499542584058,1.9630212134501657
2012-01-20 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591603,1.6503432,0.7582434,1.7315695,0.65904987,1.8909984,0.42716804,1.4868182,0.11304119,0.6847375,0.9292618,1.9893603,0.0,0.6022958,0.82268393,2.245443,1.9277482,0.0,0.0,0.0,0.8155241,2.1022854,1.7812103,0.234059,0.78944755,0.8628845,0.26823947,0.39460343,0.8866322,1.7211235,1.7352955,0.446351,1.4258456,0.6800436,1.5335072,1.8909557,0.3157421,1.5905986,275.2574,275.2574,273.814,273.814,275.18842,275.18842,271.43362,271.43362,272.63397,272.63397,274.50687,274.50687,271.62994,271.62994,277.18323,277.18323,277.18323,265.94128,265.94128,265.94128,277.57193,277.57193,277.57193,270.61185,274.12912,274.0657,270.37714,271.81903,270.61185,274.12912,274.0657,270.37714,271.81903,270.61185,274.12912,274.0657,270.37714,271.81903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6512831,1.734228,1.8919873,1.4893726,0.6843291,1.9917536,0.60100293,2.2442262,0.032364093,2.1017535,0.8911961,1.7230086,1.7378542,0.4486645,1.428292,0.7509320998897097,1.2956551971949857,1.5090227851079263,0.5980428532667654,1.5925803687524196,1.6512831,1.734228,1.8919873,1.4893726,0.6843291,1.9917536,0.60100293,2.2442262,0.032364093,2.1017535,0.8911961,1.7230086,1.7378542,0.4486645,1.428292,0.7509320998897097,1.2956551971949857,1.5090227851079263,0.5980428532667654,1.5925803687524196
2012-01-20 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5943179,1.65488,0.6928374,1.5922116,0.6504917,1.873405,0.3557607,1.4092679,0.13301855,0.7091163,0.889637,1.9379556,0.0,0.54592067,0.85690534,2.286829,1.969707,0.0,0.0,0.017619597,0.9461518,2.244661,1.9200975,0.20194516,0.7790672,0.79808474,0.23981489,0.27518067,0.8385682,1.7100351,1.6505234,0.35580295,1.2692444,0.6134781,1.5171853,1.8084112,0.21800908,1.4377186,275.28256,275.28256,273.3098,273.3098,275.12354,275.12354,271.0263,271.0263,272.8644,272.8644,274.2585,274.2585,271.3184,271.3184,277.3836,277.3836,277.3836,267.1501,267.1501,267.1501,278.49374,278.49374,278.49374,270.37323,274.0619,273.63516,270.03815,271.08878,270.37323,274.0619,273.63516,270.03815,271.08878,270.37323,274.0619,273.63516,270.03815,271.08878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6558199,1.5948701,1.8743939,1.4118985,0.70870787,1.9403489,0.54462785,2.2856119,0.040220328,2.2441294,0.84337986,1.71192,1.6530823,0.35811648,1.2721189,0.7078302176360801,1.2870035894626823,1.3851522250212998,0.5065979938900935,1.440170395359943,1.6558199,1.5948701,1.8743939,1.4118985,0.70870787,1.9403489,0.54462785,2.2856119,0.040220328,2.2441294,0.84337986,1.71192,1.6530823,0.35811648,1.2721189,0.7078302176360801,1.2870035894626823,1.3851522250212998,0.5065979938900935,1.440170395359943
2012-01-20 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004729925,-0.006749309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027343608,0.0,0.0,0.0,0.0,-0.0040548556,0.0,0.0,0.0,0.0,-0.002453871,0.0,0.0,0.5798515,1.6307061,0.6187176,1.4342878,0.6430446,1.8580956,0.29860598,1.3471961,0.1591735,0.7410337,0.73423934,1.7363604,0.0,0.6782799,0.9221636,2.3657494,2.0497198,0.0,0.0,0.036391996,0.88667613,2.1798363,1.8568614,0.29293513,0.63713634,0.7665667,0.20647205,0.21069066,0.9747506,1.5584185,1.6092913,0.2495876,1.1846775,0.8020817,1.2940116,1.7682626,0.10336553,1.3551612,275.1484,275.1484,272.73846,272.73846,275.06708,275.06708,270.7003,270.7003,273.1661,273.1661,273.28455,273.28455,272.04987,272.04987,277.76572,277.76572,277.76572,267.38562,267.38562,267.38562,278.07404,278.07404,278.07404,271.04932,273.14264,273.42575,269.6405,270.69443,271.04932,273.14264,273.42575,269.6405,270.69443,271.04932,273.14264,273.42575,269.6405,270.69443,0.0,0.0,0.0,0.0,0.0,0.010415422,0.0,0.0,0.0,0.0,0.0,0.0,0.006416162,0.0,0.0,0.0,0.0,0.004892221854845727,0.0,0.0,1.631646,1.4369634,1.8590846,1.349888,0.74062526,1.7387536,0.67698705,2.3645325,0.041751113,2.1793046,0.97886014,1.5603083,1.6118499,0.25190106,1.1877834,0.8299531360971247,1.1687134920844593,1.3249027365527408,0.3993305724210591,1.357866844180304,1.631646,1.4369634,1.8590846,1.349888,0.74062526,1.7283381,0.67698705,2.3645325,0.041751113,2.1793046,0.97886014,1.5603083,1.6054338,0.25190106,1.1877834,0.8299531360971247,1.1687134920844593,1.320010514697895,0.3993305724210591,1.357866844180304
2012-01-20 08:00:00,-0.03417801,-0.03927312,0.0,0.0,-0.050628867,-0.0781816,0.0,0.0,-0.034617946,-0.038650885,-0.90734226,-1.1908996,-0.001648651,-0.0021077828,-0.104666434,-0.100088954,-0.07955163,0.0,0.0,0.0,-0.085990116,-0.07824114,-0.060419027,0.0,-0.18352331,0.0,0.0,-0.6462289,0.0,-0.2444143,0.0,0.0,-0.8472058,0.0,-0.19190703,0.0,0.0,-0.63509554,0.5661781,1.6078578,0.65379393,1.5090235,0.6839836,1.9422559,0.34668165,1.3994077,0.26607653,0.87148947,1.0426489,2.1364558,0.10039112,0.9310375,0.97716486,2.4322653,2.1171565,0.0,0.0,0.0,0.8526678,2.1427696,1.8207026,0.30535102,0.74420875,0.6925899,0.17827776,1.1014132,0.9933332,1.6727978,1.5125138,0.15977322,2.3526978,0.8278174,1.4623736,1.6740282,0.006424384,2.4954264,275.0216,275.0216,273.00885,273.00885,275.37744,275.37744,270.97452,270.97452,274.39923,274.39923,275.21753,275.21753,273.44672,273.44672,278.08777,278.08777,278.08777,266.46146,266.46146,266.46146,277.83405,277.83405,277.83405,271.14157,273.83612,272.93423,269.30426,276.14108,271.14157,273.83612,272.93423,269.30426,276.14108,271.14157,273.83612,272.93423,269.30426,276.14108,0.049822062,0.0,0.10811599,0.0,0.035512347,1.6734233,0.0017964707,0.10869663,0.0,0.0850489,0.0,0.35533437,0.0,0.0,1.1278973,0.0,0.2841446951300775,0.0,0.0,1.1184530651526374,1.6087976,1.511688,1.9432447,1.4020481,0.8710811,2.138849,0.9297446,2.4310484,0.035744794,2.1422377,0.997347,1.6746829,1.5151203,0.17601606,2.354364,0.8466172862509451,1.2579502104324598,1.1835373573841825,0.3086266238603669,2.4963802687321137,1.5589755,1.511688,1.8351287,1.4020481,0.8355688,0.46542567,0.9279481,2.322352,0.035744794,2.0571887,0.997347,1.3193485,1.5151203,0.17601606,1.2264668,0.8466172862509451,0.9738055153023824,1.1835373573841825,0.3086266238603669,1.3779272035794763
2012-01-20 09:00:00,-0.05979772,-0.0680583,0.0,0.0,-0.22257663,-0.3523735,0.0,0.0,-0.13509935,-0.14646877,-0.9646202,-1.2188195,-0.019633971,-0.02391026,-0.28976375,-0.28116828,-0.2367154,0.0,0.0,0.0,-0.19529977,-0.17755927,-0.14088435,0.0,-0.56024253,0.0,0.0,-0.78339803,0.0,-0.7377379,0.0,0.0,-0.9807113,0.0,-0.59157825,0.0,0.0,-0.7898884,0.5410166,1.5658119,0.5625398,1.3145924,0.70830554,1.9922554,0.32231745,1.3729476,0.4396475,1.0833014,0.95324224,2.0204697,0.3025284,1.2092905,1.0043502,2.4651423,2.1504884,0.0,0.0,0.0,0.8072123,2.0932257,1.772373,0.29153457,0.9341866,0.691391,0.059932433,1.0157876,0.9726544,1.8757399,1.5109456,0.0,2.2404156,0.79917866,1.7610968,1.6725011,0.0,2.3858123,274.78827,274.78827,272.30542,272.30542,275.56183,275.56183,270.83554,270.83554,276.40137,276.40137,274.65717,274.65717,274.98447,274.98447,278.24695,278.24695,278.24695,266.2793,266.2793,266.2793,277.51328,277.51328,277.51328,271.0389,275.06656,272.92627,267.89288,275.6175,271.0389,275.06656,272.92627,267.89288,275.6175,271.0389,275.06656,272.92627,267.89288,275.6175,0.08602449,0.0,0.46255955,0.0,0.13538262,1.7042359,0.020580571,0.30174646,0.0,0.19231796,0.0,1.035327,0.0,0.0,1.3019432,0.0,0.8458645185537969,0.0,0.0,1.2955678006051072,1.5667518,1.3172861,1.9932442,1.3756139,1.0828931,2.022863,1.2079977,2.4639251,0.034560904,2.0926943,0.9767748,1.8776251,1.5135537,0.13473658,2.2420816,0.8280733890900283,1.4162907334278012,1.1812475045419708,0.13473657719161644,2.3867959167595085,1.4807273,1.3172861,1.5306846,1.3756139,0.9475105,0.3186271,1.1874171,2.1621788,0.034560904,1.9003762,0.9767748,0.84229803,1.5135537,0.13473658,0.9401384,0.8280733890900283,0.5704262148740044,1.1812475045419708,0.13473657719161644,1.0912281161544013
