config,res,time,Y_Wscale,Y_Pscale,Y_EVI
ALPS,_54km,2012-01-12 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 04:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 04:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 05:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 05:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 06:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 06:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 07:00:00,1.4273734497898845e-05,-5.706574511373484e-06,1.0100906058679342e-05
DEFAULT,_54km,2012-01-12 07:00:00,1.4497056500401395e-05,-7.261793959222128e-06,9.1556590412004e-06
ALPS,_54km,2012-01-12 08:00:00,0.0016981422649403012,-0.003854622709660002,0.0012864398693493006
DEFAULT,_54km,2012-01-12 08:00:00,0.0012752604410192062,-0.003153057205224577,0.0010545373280543978
ALPS,_54km,2012-01-12 09:00:00,0.003360547145228054,-0.007884914746531059,0.002863886357320731
DEFAULT,_54km,2012-01-12 09:00:00,0.002626550207261894,-0.0067787813242690745,0.0023308549116066316
ALPS,_54km,2012-01-12 10:00:00,0.00437179323593733,-0.010411194052554246,0.004235446627747159
DEFAULT,_54km,2012-01-12 10:00:00,0.003385771660173322,-0.009128069543910633,0.003427042026323768
ALPS,_54km,2012-01-12 11:00:00,0.0047099149563573795,-0.012051328011953044,0.005258906631953863
DEFAULT,_54km,2012-01-12 11:00:00,0.0035751381188599816,-0.010535578075798215,0.004237756862885597
ALPS,_54km,2012-01-12 12:00:00,0.004590558137529889,-0.013067203801341165,0.005956263660654807
DEFAULT,_54km,2012-01-12 12:00:00,0.0034323379965834197,-0.011341243410117448,0.004776139489011249
ALPS,_54km,2012-01-12 13:00:00,0.004225433611369104,-0.01260998873824846,0.005922845379870797
DEFAULT,_54km,2012-01-12 13:00:00,0.0032096340706637607,-0.01101061495990282,0.004729704048127085
ALPS,_54km,2012-01-12 14:00:00,0.003217959785240824,-0.009810733336142186,0.004680045874049483
DEFAULT,_54km,2012-01-12 14:00:00,0.0025332164562159596,-0.008659629002456771,0.003694193058816747
ALPS,_54km,2012-01-12 15:00:00,0.0015071318113720595,-0.003875232870266061,0.0018256828524550398
DEFAULT,_54km,2012-01-12 15:00:00,0.0011606274197026418,-0.0033566072254131167,0.001393097787802168
ALPS,_54km,2012-01-12 16:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 16:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 17:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 17:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 18:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 18:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 21:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-12 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-12 23:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-22 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-22 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-22 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-22 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-22 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-22 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-22 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-22 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-02-22 04:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-02-22 04:00:00,0.0,0.0,0.0
