config,res,time,Y_Wscale,Y_Pscale,Y_EVI
ALPS,_54km,2012-01-20 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-20 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-20 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-20 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-20 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-20 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-20 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-20 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-20 04:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-20 04:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-20 05:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-20 05:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-20 06:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-01-20 06:00:00,0.0,0.0,0.0
ALPS,_54km,2012-01-20 07:00:00,3.14156340619073e-05,-2.1013862741694092e-05,3.8067797459344525e-06
DEFAULT,_54km,2012-01-20 07:00:00,2.3525475148827984e-05,-1.637032774632268e-05,3.007693054412263e-06
ALPS,_54km,2012-01-20 08:00:00,0.0010354696416747817,-0.0010296742181305774,0.0002402700445452672
DEFAULT,_54km,2012-01-20 08:00:00,0.0007521135221873179,-0.0007720522908004261,0.00020263675723789423
ALPS,_54km,2012-01-20 09:00:00,0.0016712345895807388,-0.001905416631646828,0.0003975258486772236
DEFAULT,_54km,2012-01-20 09:00:00,0.0012142440912144884,-0.0014382412386766176,0.0003386285847004933
ALPS,_54km,2012-01-20 10:00:00,0.0024047347635423565,-0.002718600037472332,0.0005003726639623071
DEFAULT,_54km,2012-01-20 10:00:00,0.0019369035992621427,-0.002203711701256985,0.00042609112083447445
ALPS,_54km,2012-01-20 11:00:00,0.002718942856577925,-0.0029450852915300046,0.0005025322614536634
DEFAULT,_54km,2012-01-20 11:00:00,0.002260429148156729,-0.0024377871473592987,0.00043515399676417215
ALPS,_54km,2012-01-20 12:00:00,0.002717691242055327,-0.002802609647195646,0.00048421393931933834
DEFAULT,_54km,2012-01-20 12:00:00,0.0022060234380783337,-0.0022492114168348185,0.00042944147277999275
ALPS,_54km,2012-01-20 13:00:00,0.0028140519692932842,-0.0026052355754439867,0.0003842063746592393
