2012-01-11_18:00:00 2012-01-13_00:00:00
2012-02-21_18:00:00 2012-02-23_00:00:00
2012-03-14_18:00:00 2012-03-16_00:00:00
2012-03-26_18:00:00 2012-03-28_00:00:00
2012-04-26_18:00:00 2012-04-28_00:00:00
2012-05-07_18:00:00 2012-05-09_00:00:00
2012-05-25_18:00:00 2012-05-27_00:00:00
2012-06-14_18:00:00 2012-06-16_00:00:00
2012-06-27_18:00:00 2012-06-29_00:00:00
2012-07-26_18:00:00 2012-07-28_00:00:00
2012-08-17_18:00:00 2012-08-19_00:00:00
2012-08-26_18:00:00 2012-08-28_00:00:00
2012-09-07_18:00:00 2012-09-09_00:00:00
2012-09-20_18:00:00 2012-09-22_00:00:00
2012-10-19_18:00:00 2012-10-21_00:00:00
2012-11-14_18:00:00 2012-11-16_00:00:00
2012-12-23_18:00:00 2012-12-25_00:00:00
